START	rep1_2zuq_01	on 2017 June 10 at 01:42:39
TIME	parts_311_to_311_interaction_energies	201.34
TIME	parts_310_to_310_interaction_energies	200.69
TIME	parts_312_to_312_interaction_energies	188.77
TIME	parts_304_to_304_interaction_energies	204.1
TIME	parts_316_to_316_interaction_energies	192.62
TIME	parts_318_to_318_interaction_energies	191.11
TIME	parts_309_to_309_interaction_energies	205.13
TIME	parts_321_to_321_interaction_energies	190.42
TIME	parts_324_to_324_interaction_energies	194.36
TIME	parts_319_to_319_interaction_energies	192.3
TIME	parts_320_to_320_interaction_energies	192.1
TIME	parts_313_to_313_interaction_energies	197.14
TIME	parts_317_to_317_interaction_energies	198.71
TIME	parts_325_to_325_interaction_energies	200.28
TIME	parts_322_to_322_interaction_energies	197.7
TIME	parts_315_to_315_interaction_energies	191.54
TIME	parts_326_to_326_interaction_energies	201.85
TIME	parts_330_to_330_interaction_energies	191.52
TIME	parts_327_to_327_interaction_energies	196.01
TIME	parts_314_to_314_interaction_energies	194.43
TIME	parts_328_to_328_interaction_energies	198.47
TIME	parts_331_to_331_interaction_energies	200.73
TIME	parts_334_to_334_interaction_energies	187.89
TIME	parts_332_to_332_interaction_energies	201.91
TIME	parts_335_to_335_interaction_energies	193.09
TIME	parts_333_to_333_interaction_energies	204.76
TIME	parts_329_to_329_interaction_energies	196.32
TIME	parts_295_to_295_interaction_energies	196.0
TIME	parts_337_to_337_interaction_energies	199.97
TIME	parts_336_to_336_interaction_energies	200.61
TIME	parts_339_to_339_interaction_energies	200.09
TIME	parts_338_to_338_interaction_energies	202.65
TIME	parts_340_to_340_interaction_energies	205.37
TIME	parts_341_to_341_interaction_energies	204.44
TIME	parts_342_to_342_interaction_energies	208.82
TIME	parts_343_to_343_interaction_energies	201.27
TIME	parts_346_to_346_interaction_energies	179.99
TIME	parts_347_to_347_interaction_energies	189.55
TIME	parts_345_to_345_interaction_energies	190.56
TIME	parts_348_to_348_interaction_energies	201.73
TIME	parts_349_to_349_interaction_energies	200.56
TIME	parts_353_to_353_interaction_energies	192.84
TIME	parts_350_to_350_interaction_energies	193.98
TIME	parts_357_to_357_interaction_energies	185.79
TIME	parts_352_to_352_interaction_energies	193.37
TIME	parts_351_to_351_interaction_energies	195.11
TIME	parts_355_to_355_interaction_energies	197.85
TIME	parts_356_to_356_interaction_energies	201.25
TIME	parts_358_to_358_interaction_energies	198.68
TIME	parts_359_to_359_interaction_energies	205.14
TIME	parts_361_to_361_interaction_energies	206.28
TIME	parts_354_to_354_interaction_energies	201.0
TIME	parts_362_to_362_interaction_energies	204.6
TIME	parts_360_to_360_interaction_energies	205.84
TIME	parts_367_to_367_interaction_energies	190.72
TIME	parts_368_to_368_interaction_energies	187.53
TIME	parts_363_to_363_interaction_energies	200.4
TIME	parts_369_to_369_interaction_energies	189.39
TIME	parts_364_to_364_interaction_energies	203.08
TIME	parts_376_to_376_interaction_energies	186.04
TIME	parts_365_to_365_interaction_energies	204.11
TIME	parts_372_to_372_interaction_energies	187.24
TIME	parts_374_to_374_interaction_energies	184.47
TIME	parts_373_to_373_interaction_energies	186.81
TIME	parts_371_to_371_interaction_energies	190.04
TIME	parts_370_to_370_interaction_energies	191.25
TIME	parts_366_to_366_interaction_energies	207.09
TIME	parts_379_to_379_interaction_energies	182.85
TIME	parts_375_to_375_interaction_energies	192.76
TIME	parts_381_to_381_interaction_energies	190.25
TIME	parts_377_to_377_interaction_energies	193.39
TIME	parts_387_to_387_interaction_energies	187.29
TIME	parts_385_to_385_interaction_energies	180.39
TIME	parts_382_to_382_interaction_energies	186.43
TIME	parts_384_to_384_interaction_energies	182.74
TIME	parts_386_to_386_interaction_energies	183.53
TIME	parts_389_to_389_interaction_energies	191.29
TIME	parts_378_to_378_interaction_energies	190.25
TIME	parts_390_to_390_interaction_energies	193.54
TIME	parts_393_to_393_interaction_energies	189.08
TIME	parts_388_to_388_interaction_energies	194.19
TIME	parts_380_to_380_interaction_energies	198.76
TIME	parts_395_to_395_interaction_energies	185.67
TIME	parts_396_to_396_interaction_energies	185.63
TIME	parts_394_to_394_interaction_energies	189.81
TIME	parts_397_to_397_interaction_energies	190.99
TIME	parts_392_to_392_interaction_energies	186.93
TIME	parts_391_to_391_interaction_energies	188.44
TIME	parts_402_to_402_interaction_energies	189.64
TIME	parts_403_to_403_interaction_energies	189.67
TIME	parts_399_to_399_interaction_energies	193.87
TIME	parts_400_to_400_interaction_energies	192.21
TIME	parts_401_to_401_interaction_energies	194.69
TIME	parts_405_to_405_interaction_energies	189.94
TIME	parts_398_to_398_interaction_energies	188.7
TIME	parts_406_to_406_interaction_energies	192.41
TIME	parts_407_to_407_interaction_energies	186.27
TIME	parts_409_to_409_interaction_energies	193.28
TIME	parts_408_to_408_interaction_energies	191.21
TIME	parts_410_to_410_interaction_energies	198.16
TIME	parts_411_to_411_interaction_energies	198.14
TIME	parts_404_to_404_interaction_energies	187.68
TIME	parts_413_to_413_interaction_energies	181.26
TIME	parts_414_to_414_interaction_energies	181.41
TIME	parts_415_to_415_interaction_energies	181.44
TIME	parts_412_to_412_interaction_energies	190.68
TIME	parts_420_to_420_interaction_energies	182.34
TIME	parts_416_to_416_interaction_energies	192.77
TIME	parts_417_to_417_interaction_energies	184.29
TIME	parts_418_to_418_interaction_energies	187.35
TIME	parts_419_to_419_interaction_energies	186.63
TIME	parts_423_to_423_interaction_energies	182.38
TIME	parts_422_to_422_interaction_energies	184.85
TIME	parts_421_to_421_interaction_energies	186.38
TIME	parts_426_to_426_interaction_energies	187.07
TIME	parts_424_to_424_interaction_energies	187.36
TIME	parts_425_to_425_interaction_energies	189.08
TIME	parts_428_to_428_interaction_energies	194.62
TIME	parts_427_to_427_interaction_energies	191.18
TIME	parts_432_to_432_interaction_energies	191.25
TIME	parts_429_to_429_interaction_energies	190.52
TIME	parts_430_to_430_interaction_energies	186.92
TIME	parts_431_to_431_interaction_energies	188.63
TIME	parts_433_to_433_interaction_energies	190.13
TIME	parts_436_to_436_interaction_energies	251.71
TIME	parts_435_to_435_interaction_energies	263.86
TIME	parts_434_to_434_interaction_energies	265.37
TIME	parts_438_to_438_interaction_energies	263.83
TIME	parts_440_to_440_interaction_energies	261.61
TIME	parts_441_to_441_interaction_energies	261.9
TIME	parts_444_to_444_interaction_energies	262.1
TIME	parts_443_to_443_interaction_energies	265.92
TIME	parts_442_to_442_interaction_energies	266.56
TIME	parts_437_to_437_interaction_energies	271.43
TIME	parts_448_to_448_interaction_energies	260.1
TIME	parts_450_to_450_interaction_energies	259.94
TIME	parts_449_to_449_interaction_energies	260.17
TIME	parts_447_to_447_interaction_energies	264.22
TIME	parts_451_to_451_interaction_energies	272.22
TIME	parts_452_to_452_interaction_energies	261.45
TIME	parts_445_to_445_interaction_energies	266.71
TIME	parts_446_to_446_interaction_energies	265.33
TIME	parts_457_to_457_interaction_energies	262.63
TIME	parts_456_to_456_interaction_energies	265.17
TIME	parts_453_to_453_interaction_energies	271.18
TIME	parts_454_to_454_interaction_energies	269.91
TIME	parts_455_to_455_interaction_energies	271.12
TIME	parts_459_to_459_interaction_energies	263.86
TIME	parts_460_to_460_interaction_energies	265.54
TIME	parts_462_to_462_interaction_energies	270.53
TIME	parts_458_to_458_interaction_energies	274.89
TIME	parts_461_to_461_interaction_energies	273.95
TIME	parts_463_to_463_interaction_energies	262.97
TIME	parts_466_to_466_interaction_energies	263.37
TIME	parts_465_to_465_interaction_energies	270.38
TIME	parts_467_to_467_interaction_energies	270.04
TIME	parts_468_to_468_interaction_energies	271.63
TIME	parts_472_to_472_interaction_energies	270.8
TIME	parts_470_to_470_interaction_energies	269.35
TIME	parts_471_to_471_interaction_energies	269.93
TIME	parts_469_to_469_interaction_energies	271.67
TIME	parts_464_to_464_interaction_energies	264.31
TIME	parts_473_to_473_interaction_energies	268.82
TIME	parts_474_to_474_interaction_energies	268.77
TIME	parts_477_to_477_interaction_energies	253.13
TIME	parts_475_to_475_interaction_energies	274.24
TIME	parts_481_to_481_interaction_energies	251.87
TIME	parts_480_to_480_interaction_energies	253.43
TIME	parts_478_to_478_interaction_energies	274.48
TIME	parts_479_to_479_interaction_energies	276.01
TIME	parts_483_to_483_interaction_energies	254.51
TIME	parts_484_to_484_interaction_energies	268.44
TIME	parts_482_to_482_interaction_energies	265.54
TIME	parts_485_to_485_interaction_energies	259.14
TIME	parts_486_to_486_interaction_energies	265.91
TIME	parts_487_to_487_interaction_energies	258.63
TIME	parts_488_to_488_interaction_energies	261.6
TIME	parts_489_to_489_interaction_energies	267.76
TIME	parts_490_to_490_interaction_energies	269.19
TIME	parts_491_to_491_interaction_energies	269.0
TIME	parts_493_to_493_interaction_energies	268.03
TIME	parts_476_to_476_interaction_energies	269.44
TIME	parts_492_to_492_interaction_energies	271.78
TIME	parts_494_to_494_interaction_energies	270.78
TIME	parts_497_to_497_interaction_energies	263.17
