START	bench_5ire	on 2017 May 26 at 17:25:45
TIME	interaction_energies_for_MAPs_part_KCDR3_64	339.1
TIME	interaction_energies_for_MAPs_part_KCDR3_59	338.06
TIME	interaction_energies_for_MAPs_part_KCDR3_151	333.41
TIME	interaction_energies_for_MAPs_part_KCDR3_126	329.98
TIME	interaction_energies_for_MAPs_part_KCDR3_9	329.57
TIME	interaction_energies_for_MAPs_part_KCDR3_75	332.73
TIME	interaction_energies_for_MAPs_part_KCDR3_122	326.64
TIME	interaction_energies_for_MAPs_part_KCDR3_121	327.29
TIME	interaction_energies_for_MAPs_part_KCDR3_123	329.39
TIME	interaction_energies_for_MAPs_part_KCDR3_46	339.94
TIME	interaction_energies_for_MAPs_part_KCDR3_116	329.61
TIME	interaction_energies_for_MAPs_part_KCDR3_89	334.51
TIME	interaction_energies_for_MAPs_part_KCDR3_79	340.53
TIME	interaction_energies_for_MAPs_part_KCDR3_7	340.26
TIME	interaction_energies_for_MAPs_part_KCDR3_65	326.46
TIME	interaction_energies_for_MAPs_part_KCDR3_66	340.4
TIME	interaction_energies_for_MAPs_part_KCDR3_5	336.34
TIME	interaction_energies_for_MAPs_part_KCDR3_37	337.33
TIME	interaction_energies_for_MAPs_part_KCDR3_38	337.61
TIME	interaction_energies_for_MAPs_part_HV_78	390.71
TIME	interaction_energies_for_MAPs_part_KCDR3_10	322.24
TIME	interaction_energies_for_MAPs_part_KCDR3_14	330.92
TIME	interaction_energies_for_MAPs_part_KCDR3_104	328.05
TIME	interaction_energies_for_MAPs_part_KCDR3_74	328.72
TIME	interaction_energies_for_MAPs_part_KCDR3_50	333.26
TIME	interaction_energies_for_MAPs_part_KCDR3_90	327.03
TIME	interaction_energies_for_MAPs_part_KCDR3_110	332.73
TIME	interaction_energies_for_MAPs_part_KCDR3_111	328.45
TIME	interaction_energies_for_MAPs_part_HV_72	380.42
TIME	interaction_energies_for_MAPs_part_KCDR3_88	345.38
TIME	interaction_energies_for_MAPs_part_HV_66	380.92
TIME	interaction_energies_for_MAPs_part_KCDR3_69	334.71
TIME	interaction_energies_for_MAPs_part_KCDR3_57	337.98
TIME	interaction_energies_for_MAPs_part_KCDR3_36	339.9
TIME	interaction_energies_for_MAPs_part_HV_87	380.25
TIME	interaction_energies_for_MAPs_part_HV_88	386.51
TIME	interaction_energies_for_MAPs_part_HV_81	379.14
TIME	interaction_energies_for_MAPs_part_HV_80	379.29
TIME	interaction_energies_for_MAPs_part_HV_82	393.31
TIME	interaction_energies_for_MAPs_part_HV_74	390.73
TIME	interaction_energies_for_MAPs_part_HV_75	390.37
TIME	interaction_energies_for_MAPs_part_KCDR3_109	337.0
TIME	interaction_energies_for_MAPs_part_KCDR3_102	327.17
TIME	interaction_energies_for_MAPs_part_KCDR3_72	330.99
TIME	interaction_energies_for_MAPs_part_KCDR3_48	331.13
TIME	interaction_energies_for_MAPs_part_KCDR3_43	332.69
TIME	interaction_energies_for_MAPs_part_HV_70	372.02
TIME	interaction_energies_for_MAPs_part_HV_65	379.58
TIME	interaction_energies_for_MAPs_part_HV_64	376.51
TIME	interaction_energies_for_MAPs_part_HV_71	381.46
TIME	interaction_energies_for_MAPs_part_HV_63	376.68
TIME	interaction_energies_for_MAPs_part_KCDR3_85	329.97
TIME	interaction_energies_for_MAPs_part_KCDR3_87	337.89
TIME	interaction_energies_for_MAPs_part_KCDR3_61	330.85
TIME	interaction_energies_for_MAPs_part_KCDR3_62	327.97
TIME	interaction_energies_for_MAPs_part_HV_85	388.52
TIME	interaction_energies_for_MAPs_part_HV_84	381.14
TIME	interaction_energies_for_MAPs_part_HV_73	389.13
TIME	interaction_energies_for_MAPs_part_KCDR3_107	334.59
TIME	interaction_energies_for_MAPs_part_KCDR3_108	330.37
TIME	interaction_energies_for_MAPs_part_HV_42	381.36
TIME	interaction_energies_for_MAPs_part_KCDR3_100	328.76
TIME	interaction_energies_for_MAPs_part_KCDR3_101	338.76
TIME	interaction_energies_for_MAPs_part_KCDR3_71	338.22
TIME	interaction_energies_for_MAPs_part_HV_35	391.08
TIME	interaction_energies_for_MAPs_part_KCDR3_45	333.67
TIME	interaction_energies_for_MAPs_part_KCDR3_47	338.41
TIME	interaction_energies_for_MAPs_part_KCDR3_42	331.15
TIME	interaction_energies_for_MAPs_part_HV_62	382.16
TIME	interaction_energies_for_MAPs_part_HV_23	401.51
TIME	interaction_energies_for_MAPs_part_KCDR3_82	329.15
TIME	interaction_energies_for_MAPs_part_KCDR3_78	330.38
TIME	interaction_energies_for_MAPs_part_KCDR3_84	329.92
TIME	interaction_energies_for_MAPs_part_KCDR3_77	330.64
TIME	interaction_energies_for_MAPs_part_HV_16	386.9
TIME	interaction_energies_for_MAPs_part_HV_83	373.73
TIME	interaction_energies_for_MAPs_part_HV_7	375.01
TIME	interaction_energies_for_MAPs_part_HV_5	383.01
TIME	interaction_energies_for_MAPs_part_HV_76	391.57
TIME	interaction_energies_for_MAPs_part_KCDR3_106	335.12
TIME	interaction_energies_for_MAPs_part_KCDR3_98	328.48
TIME	interaction_energies_for_MAPs_part_KCDR3_99	333.85
TIME	interaction_energies_for_MAPs_part_KCDR3_52	328.63
TIME	interaction_energies_for_MAPs_part_KCDR3_51	328.62
TIME	interaction_energies_for_MAPs_part_HV_57	379.96
TIME	interaction_energies_for_MAPs_part_KCDR3_41	333.53
TIME	interaction_energies_for_MAPs_part_HV_52	382.38
TIME	interaction_energies_for_MAPs_part_HV_41	374.33
TIME	interaction_energies_for_MAPs_part_HV_40	390.45
TIME	interaction_energies_for_MAPs_part_HV_67	389.81
TIME	interaction_energies_for_MAPs_part_HV_61	395.29
TIME	interaction_energies_for_MAPs_part_HV_29	382.88
TIME	interaction_energies_for_MAPs_part_KCDR3_68	335.64
TIME	interaction_energies_for_MAPs_part_KCDR3_39	326.23
TIME	interaction_energies_for_MAPs_part_HV_79	379.83
