359.09 1.25 -6.25 15 +3.5585
358.96 5 0 12.5 +1e+10
358.85 10 3.75 16.25 +1.29077e+08
359.82 3.75 -1.25 15 +9.96303e+06
359.09 8.75 2.5 16.25 +2.78937e+08
352.57 2.5 -2.5 15 -12.1325
355.86 10 -7.5 15 +6649.15
359.32 2.5 1.25 11.25 +1e+10
359.32 2.5 -1.25 11.25 +1e+10
352.16 7.5 -5 16.25 +1172.17
359.82 7.5 -10 16.25 +5.4077
355.86 -3.75 -10 10 +1618.4
359.82 1.25 0 16.25 -22.1215
352.57 -2.5 -8.75 16.25 +4.0679
355.86 7.5 5 16.25 +4.52178e+08
359.82 -3.75 -7.5 12.5 +8.271
355.86 1.25 -5 11.25 +2080.15
358.96 8.75 -2.5 16.25 +1.10525e+06
358.85 1.25 3.75 11.25 +1e+10
352.16 10 -6.25 15 +4.06654e+06
359.32 5 -1.25 12.5 +8.17248e+08
359.32 -5 -6.25 12.5 -3.9687
355.86 0 -10 16.25 +4.2467
358.85 -3.75 1.25 8.75 +1e+10
355.86 -5 -10 12.5 +4.3323
344.85 1.25 -8.75 13.75 -0.5095
358.96 6.25 -6.25 11.25 +1e+10
359.82 -3.75 -8.75 13.75 +6.3991
359.82 -3.75 -1.25 7.5 +1e+10
359.32 -5 5 7.5 +1e+10
359.32 -2.5 -7.5 15 +4.5685
359.82 3.75 -8.75 10 +768634
344.85 8.75 -10 16.25 +3.2911
359.82 -2.5 0 12.5 +1e+10
358.85 8.75 3.75 13.75 +8.17582e+08
359.82 3.75 -7.5 13.75 +2.8936
358.96 10 -8.75 12.5 +4.63315e+06
359.32 1.25 1.25 15 +776.349
358.85 -2.5 -6.25 6.25 +1e+10
359.82 -1.25 -7.5 11.25 +81.1772
359.32 -1.25 -5 15 +2.4794
352.57 -5 -3.75 11.25 +94650
358.96 8.75 -8.75 11.25 +6.76494e+08
359.32 -3.75 -3.75 11.25 +8.51309e+07
359.32 0 -7.5 5 +1e+10
358.96 6.25 -2.5 15 +10904.2
359.09 6.25 -8.75 15 +9.4882
355.86 0 -10 15 +5.1349
358.96 6.25 -5 8.75 +1e+10
359.82 -1.25 2.5 16.25 +3.3701
344.85 -1.25 -6.25 8.75 +5.31938e+09
359.32 2.5 5 13.75 +1e+10
