START	bench_2ck0	on 2017 May 14 at 21:29:00
TIME	interaction_energies_for_MAPs_part_KCDR3_40	74.88
TIME	interaction_energies_for_MAPs_part_KCDR3_41	74.95
TIME	interaction_energies_for_MAPs_part_KCDR3_49	81.96
TIME	interaction_energies_for_MAPs_part_KCDR3_5	83.33
TIME	interaction_energies_for_MAPs_part_KCDR3_58	87.94
TIME	interaction_energies_for_MAPs_part_KCDR3_59	86.28
TIME	interaction_energies_for_MAPs_part_KCDR3_36	72.67
TIME	interaction_energies_for_MAPs_part_KCDR3_53	89.07
TIME	interaction_energies_for_MAPs_part_KCDR3_48	85.33
TIME	interaction_energies_for_MAPs_part_KCDR3_47	85.23
TIME	interaction_energies_for_MAPs_part_KCDR3_42	86.34
TIME	interaction_energies_for_MAPs_part_HV_88	174.47
TIME	interaction_energies_for_MAPs_part_HV_85	178.93
TIME	interaction_energies_for_MAPs_part_HV_86	169.99
TIME	interaction_energies_for_MAPs_part_HV_84	175.3
TIME	interaction_energies_for_MAPs_part_HV_83	187.3
TIME	interaction_energies_for_MAPs_part_HV_81	181.35
TIME	interaction_energies_for_MAPs_part_HV_80	183.67
TIME	interaction_energies_for_MAPs_part_HV_82	183.54
TIME	interaction_energies_for_MAPs_part_HV_7	184.56
TIME	interaction_energies_for_MAPs_part_HV_75	180.56
TIME	interaction_energies_for_MAPs_part_HV_74	179.9
TIME	interaction_energies_for_MAPs_part_HV_76	188.44
TIME	interaction_energies_for_MAPs_part_HV_71	179.71
TIME	interaction_energies_for_MAPs_part_HV_72	179.29
TIME	interaction_energies_for_MAPs_part_HV_63	177.6
TIME	interaction_energies_for_MAPs_part_HV_60	179.28
TIME	interaction_energies_for_MAPs_part_HV_87	189.79
TIME	interaction_energies_for_MAPs_part_HV_5	188.99
TIME	interaction_energies_for_MAPs_part_HV_59	185.04
TIME	interaction_energies_for_MAPs_part_HV_58	185.67
TIME	interaction_energies_for_MAPs_part_HV_57	188.18
TIME	interaction_energies_for_MAPs_part_HV_55	181.5
TIME	interaction_energies_for_MAPs_part_HV_78	189.98
TIME	interaction_energies_for_MAPs_part_HV_77	190.27
TIME	interaction_energies_for_MAPs_part_HV_54	183.42
TIME	interaction_energies_for_MAPs_part_HV_56	184.71
TIME	interaction_energies_for_MAPs_part_HV_53	186.89
TIME	interaction_energies_for_MAPs_part_HV_79	196.24
TIME	interaction_energies_for_MAPs_part_HV_52	182.34
TIME	interaction_energies_for_MAPs_part_HV_51	183.92
TIME	interaction_energies_for_MAPs_part_HV_70	193.38
TIME	interaction_energies_for_MAPs_part_HV_65	188.37
TIME	interaction_energies_for_MAPs_part_HV_69	191.21
TIME	interaction_energies_for_MAPs_part_HV_68	191.67
TIME	interaction_energies_for_MAPs_part_HV_50	176.85
TIME	interaction_energies_for_MAPs_part_HV_67	191.02
