START	rep1_3ghb_01	on 2017 June 09 at 22:16:54
TIME	parts_363_to_363_interaction_energies	102.37
TIME	parts_364_to_364_interaction_energies	103.98
TIME	parts_367_to_367_interaction_energies	88.19
TIME	parts_365_to_365_interaction_energies	108.66
TIME	parts_368_to_368_interaction_energies	86.99
TIME	parts_366_to_366_interaction_energies	108.44
TIME	parts_372_to_372_interaction_energies	85.12
TIME	parts_371_to_371_interaction_energies	85.04
TIME	parts_369_to_369_interaction_energies	94.22
TIME	parts_373_to_373_interaction_energies	86.81
TIME	parts_370_to_370_interaction_energies	87.97
TIME	parts_376_to_376_interaction_energies	85.17
TIME	parts_374_to_374_interaction_energies	84.91
TIME	parts_375_to_375_interaction_energies	84.66
TIME	parts_378_to_378_interaction_energies	87.44
TIME	parts_377_to_377_interaction_energies	88.82
TIME	parts_379_to_379_interaction_energies	88.29
TIME	parts_380_to_380_interaction_energies	85.42
TIME	parts_384_to_384_interaction_energies	83.61
TIME	parts_382_to_382_interaction_energies	86.5
TIME	parts_386_to_386_interaction_energies	84.09
TIME	parts_383_to_383_interaction_energies	84.99
TIME	parts_385_to_385_interaction_energies	83.88
TIME	parts_389_to_389_interaction_energies	87.19
TIME	parts_388_to_388_interaction_energies	87.52
TIME	parts_387_to_387_interaction_energies	88.39
TIME	parts_391_to_391_interaction_energies	87.81
TIME	parts_390_to_390_interaction_energies	93.76
TIME	parts_393_to_393_interaction_energies	86.17
TIME	parts_392_to_392_interaction_energies	89.83
TIME	parts_394_to_394_interaction_energies	89.0
TIME	parts_381_to_381_interaction_energies	87.78
TIME	parts_396_to_396_interaction_energies	80.76
TIME	parts_397_to_397_interaction_energies	86.71
TIME	parts_399_to_399_interaction_energies	85.8
TIME	parts_395_to_395_interaction_energies	87.7
TIME	parts_401_to_401_interaction_energies	87.9
TIME	parts_402_to_402_interaction_energies	87.73
TIME	parts_398_to_398_interaction_energies	90.02
TIME	parts_403_to_403_interaction_energies	88.52
TIME	parts_400_to_400_interaction_energies	91.16
TIME	parts_407_to_407_interaction_energies	80.12
TIME	parts_404_to_404_interaction_energies	88.78
TIME	parts_405_to_405_interaction_energies	89.13
TIME	parts_406_to_406_interaction_energies	88.48
TIME	parts_408_to_408_interaction_energies	91.13
TIME	parts_410_to_410_interaction_energies	89.59
TIME	parts_409_to_409_interaction_energies	89.5
TIME	parts_412_to_412_interaction_energies	86.92
TIME	parts_413_to_413_interaction_energies	86.28
TIME	parts_414_to_414_interaction_energies	86.61
TIME	parts_411_to_411_interaction_energies	91.64
TIME	parts_418_to_418_interaction_energies	81.24
TIME	parts_417_to_417_interaction_energies	87.03
TIME	parts_420_to_420_interaction_energies	85.47
TIME	parts_416_to_416_interaction_energies	89.8
TIME	parts_419_to_419_interaction_energies	87.0
