START	rep1_1nsn_01	on 2017 June 11 at 12:34:00
TIME	parts_390_to_390_interaction_energies	121.3
TIME	parts_386_to_386_interaction_energies	123.29
TIME	parts_405_to_405_interaction_energies	117.64
TIME	parts_404_to_404_interaction_energies	117.83
TIME	parts_406_to_406_interaction_energies	118.37
TIME	parts_403_to_403_interaction_energies	118.75
TIME	parts_401_to_401_interaction_energies	119.13
TIME	parts_402_to_402_interaction_energies	118.81
TIME	parts_394_to_394_interaction_energies	121.33
TIME	parts_391_to_391_interaction_energies	122.72
TIME	parts_393_to_393_interaction_energies	120.37
TIME	parts_388_to_388_interaction_energies	121.61
TIME	parts_411_to_411_interaction_energies	118.4
TIME	parts_392_to_392_interaction_energies	122.1
TIME	parts_409_to_409_interaction_energies	119.22
TIME	parts_398_to_398_interaction_energies	122.61
TIME	parts_408_to_408_interaction_energies	119.46
TIME	parts_400_to_400_interaction_energies	121.92
TIME	parts_399_to_399_interaction_energies	125.02
TIME	parts_410_to_410_interaction_energies	124.34
TIME	parts_397_to_397_interaction_energies	124.2
TIME	parts_423_to_423_interaction_energies	116.6
TIME	parts_424_to_424_interaction_energies	117.34
TIME	parts_422_to_422_interaction_energies	118.58
TIME	parts_421_to_421_interaction_energies	118.1
TIME	parts_426_to_426_interaction_energies	118.64
TIME	parts_425_to_425_interaction_energies	119.33
TIME	parts_418_to_418_interaction_energies	118.06
TIME	parts_414_to_414_interaction_energies	120.69
TIME	parts_416_to_416_interaction_energies	120.47
TIME	parts_415_to_415_interaction_energies	120.92
TIME	parts_429_to_429_interaction_energies	118.45
TIME	parts_412_to_412_interaction_energies	122.45
TIME	parts_420_to_420_interaction_energies	121.14
TIME	parts_428_to_428_interaction_energies	121.26
TIME	parts_417_to_417_interaction_energies	122.48
TIME	parts_427_to_427_interaction_energies	121.12
TIME	parts_419_to_419_interaction_energies	124.7
TIME	parts_413_to_413_interaction_energies	122.25
TIME	parts_430_to_430_interaction_energies	118.17
TIME	parts_433_to_433_interaction_energies	119.06
TIME	parts_431_to_431_interaction_energies	121.34
TIME	parts_432_to_432_interaction_energies	120.35
TIME	parts_435_to_435_interaction_energies	167.81
TIME	parts_437_to_437_interaction_energies	168.49
TIME	parts_436_to_436_interaction_energies	168.38
TIME	parts_438_to_438_interaction_energies	169.4
TIME	parts_434_to_434_interaction_energies	172.84
TIME	parts_443_to_443_interaction_energies	175.44
TIME	parts_442_to_442_interaction_energies	174.01
TIME	parts_441_to_441_interaction_energies	173.3
TIME	parts_444_to_444_interaction_energies	170.4
TIME	parts_448_to_448_interaction_energies	168.27
TIME	parts_446_to_446_interaction_energies	173.97
TIME	parts_450_to_450_interaction_energies	176.23
TIME	parts_449_to_449_interaction_energies	176.96
TIME	parts_451_to_451_interaction_energies	171.89
TIME	parts_460_to_460_interaction_energies	167.52
