START	rep1_3ffd_01	on 2017 June 13 at 03:02:31
TIME	parts_130_to_130_interaction_energies	68.75
TIME	parts_138_to_138_interaction_energies	61.11
TIME	parts_140_to_140_interaction_energies	62.72
TIME	parts_141_to_141_interaction_energies	62.3
TIME	parts_139_to_139_interaction_energies	64.73
TIME	parts_142_to_142_interaction_energies	67.65
TIME	parts_143_to_143_interaction_energies	73.18
TIME	parts_146_to_146_interaction_energies	58.41
TIME	parts_147_to_147_interaction_energies	62.03
TIME	parts_144_to_144_interaction_energies	62.66
TIME	parts_145_to_145_interaction_energies	68.65
TIME	parts_148_to_148_interaction_energies	69.16
TIME	parts_154_to_154_interaction_energies	61.38
TIME	parts_152_to_152_interaction_energies	63.38
TIME	parts_153_to_153_interaction_energies	64.51
TIME	parts_150_to_150_interaction_energies	66.46
TIME	parts_155_to_155_interaction_energies	64.11
TIME	parts_156_to_156_interaction_energies	64.58
TIME	parts_151_to_151_interaction_energies	66.23
TIME	parts_157_to_157_interaction_energies	63.78
TIME	parts_149_to_149_interaction_energies	71.07
TIME	parts_159_to_159_interaction_energies	63.58
TIME	parts_158_to_158_interaction_energies	64.61
TIME	parts_164_to_164_interaction_energies	62.02
TIME	parts_161_to_161_interaction_energies	63.33
TIME	parts_160_to_160_interaction_energies	63.39
TIME	parts_162_to_162_interaction_energies	67.68
TIME	parts_163_to_163_interaction_energies	67.01
TIME	parts_166_to_166_interaction_energies	63.9
TIME	parts_168_to_168_interaction_energies	60.08
TIME	parts_167_to_167_interaction_energies	63.19
TIME	parts_169_to_169_interaction_energies	63.82
TIME	parts_170_to_170_interaction_energies	66.25
TIME	parts_171_to_171_interaction_energies	69.01
TIME	parts_173_to_173_interaction_energies	67.54
TIME	parts_172_to_172_interaction_energies	64.83
TIME	parts_179_to_179_interaction_energies	60.05
TIME	parts_182_to_182_interaction_energies	62.62
TIME	parts_176_to_176_interaction_energies	65.2
TIME	parts_181_to_181_interaction_energies	65.26
TIME	parts_178_to_178_interaction_energies	64.72
TIME	parts_177_to_177_interaction_energies	63.12
TIME	parts_165_to_165_interaction_energies	64.61
TIME	parts_174_to_174_interaction_energies	65.48
TIME	parts_175_to_175_interaction_energies	67.07
TIME	parts_180_to_180_interaction_energies	68.07
TIME	parts_188_to_188_interaction_energies	62.98
TIME	parts_187_to_187_interaction_energies	65.71
TIME	parts_185_to_185_interaction_energies	65.93
TIME	parts_184_to_184_interaction_energies	63.2
TIME	parts_186_to_186_interaction_energies	69.5
TIME	parts_189_to_189_interaction_energies	70.32
TIME	parts_191_to_191_interaction_energies	62.73
TIME	parts_190_to_190_interaction_energies	61.7
TIME	parts_196_to_196_interaction_energies	64.94
TIME	parts_193_to_193_interaction_energies	61.98
TIME	parts_192_to_192_interaction_energies	64.96
TIME	parts_194_to_194_interaction_energies	68.69
TIME	parts_195_to_195_interaction_energies	65.99
TIME	parts_197_to_197_interaction_energies	67.12
TIME	parts_198_to_198_interaction_energies	69.79
TIME	parts_201_to_201_interaction_energies	60.61
TIME	parts_200_to_200_interaction_energies	64.88
TIME	parts_203_to_203_interaction_energies	66.99
TIME	parts_202_to_202_interaction_energies	67.94
TIME	parts_199_to_199_interaction_energies	66.46
TIME	parts_183_to_183_interaction_energies	67.11
TIME	parts_204_to_204_interaction_energies	70.62
TIME	parts_211_to_211_interaction_energies	62.65
TIME	parts_205_to_205_interaction_energies	65.95
TIME	parts_208_to_208_interaction_energies	63.76
TIME	parts_207_to_207_interaction_energies	66.06
TIME	parts_209_to_209_interaction_energies	68.29
TIME	parts_206_to_206_interaction_energies	66.6
TIME	parts_210_to_210_interaction_energies	66.84
TIME	parts_213_to_213_interaction_energies	62.03
TIME	parts_212_to_212_interaction_energies	62.56
TIME	parts_215_to_215_interaction_energies	64.9
TIME	parts_219_to_219_interaction_energies	64.32
TIME	parts_214_to_214_interaction_energies	64.48
TIME	parts_220_to_220_interaction_energies	67.81
TIME	parts_217_to_217_interaction_energies	67.07
TIME	parts_218_to_218_interaction_energies	67.45
TIME	parts_216_to_216_interaction_energies	66.05
TIME	parts_240_to_240_interaction_energies	66.99
TIME	parts_224_to_224_interaction_energies	58.68
TIME	parts_223_to_223_interaction_energies	60.54
TIME	parts_222_to_222_interaction_energies	65.35
TIME	parts_221_to_221_interaction_energies	70.24
TIME	parts_228_to_228_interaction_energies	64.44
TIME	parts_231_to_231_interaction_energies	65.27
TIME	parts_225_to_225_interaction_energies	67.62
TIME	parts_229_to_229_interaction_energies	64.68
TIME	parts_230_to_230_interaction_energies	66.85
TIME	parts_226_to_226_interaction_energies	67.37
