START	rep1_3bky_01	on 2017 June 11 at 10:19:23
TIME	parts_39_to_39_interaction_energies	104.66
TIME	parts_34_to_34_interaction_energies	106.88
TIME	parts_35_to_35_interaction_energies	101.12
TIME	parts_40_to_40_interaction_energies	108.4
TIME	parts_36_to_36_interaction_energies	101.05
TIME	parts_37_to_37_interaction_energies	107.76
TIME	parts_41_to_41_interaction_energies	104.37
TIME	parts_42_to_42_interaction_energies	105.48
TIME	parts_43_to_43_interaction_energies	109.13
TIME	parts_45_to_45_interaction_energies	105.77
TIME	parts_44_to_44_interaction_energies	107.56
TIME	parts_46_to_46_interaction_energies	101.14
TIME	parts_49_to_49_interaction_energies	105.12
TIME	parts_48_to_48_interaction_energies	104.96
TIME	parts_47_to_47_interaction_energies	105.45
TIME	parts_50_to_50_interaction_energies	102.33
TIME	parts_51_to_51_interaction_energies	107.38
TIME	parts_55_to_55_interaction_energies	107.67
TIME	parts_71_to_71_interaction_energies	107.33
TIME	parts_52_to_52_interaction_energies	110.16
TIME	parts_72_to_72_interaction_energies	108.51
TIME	parts_73_to_73_interaction_energies	107.97
TIME	parts_78_to_78_interaction_energies	106.58
TIME	parts_54_to_54_interaction_energies	108.08
TIME	parts_74_to_74_interaction_energies	107.05
TIME	parts_75_to_75_interaction_energies	107.42
TIME	parts_76_to_76_interaction_energies	106.54
TIME	parts_77_to_77_interaction_energies	106.78
TIME	parts_79_to_79_interaction_energies	100.69
TIME	parts_53_to_53_interaction_energies	111.3
TIME	parts_80_to_80_interaction_energies	101.34
TIME	parts_56_to_56_interaction_energies	103.31
TIME	parts_57_to_57_interaction_energies	101.25
TIME	parts_81_to_81_interaction_energies	107.05
TIME	parts_82_to_82_interaction_energies	107.24
TIME	parts_83_to_83_interaction_energies	107.85
TIME	parts_85_to_85_interaction_energies	104.59
TIME	parts_90_to_90_interaction_energies	99.44
TIME	parts_95_to_95_interaction_energies	100.45
TIME	parts_87_to_87_interaction_energies	107.42
TIME	parts_88_to_88_interaction_energies	108.14
TIME	parts_89_to_89_interaction_energies	108.76
TIME	parts_93_to_93_interaction_energies	103.4
TIME	parts_94_to_94_interaction_energies	108.98
TIME	parts_92_to_92_interaction_energies	108.36
TIME	parts_84_to_84_interaction_energies	108.62
TIME	parts_98_to_98_interaction_energies	104.72
TIME	parts_86_to_86_interaction_energies	110.24
TIME	parts_91_to_91_interaction_energies	112.42
TIME	parts_96_to_96_interaction_energies	102.96
TIME	parts_97_to_97_interaction_energies	109.87
TIME	parts_99_to_99_interaction_energies	109.12
TIME	parts_101_to_101_interaction_energies	98.63
TIME	parts_100_to_100_interaction_energies	108.03
TIME	parts_106_to_106_interaction_energies	102.85
TIME	parts_102_to_102_interaction_energies	106.29
TIME	parts_103_to_103_interaction_energies	106.46
TIME	parts_104_to_104_interaction_energies	109.31
TIME	parts_105_to_105_interaction_energies	110.98
TIME	parts_109_to_109_interaction_energies	109.29
TIME	parts_107_to_107_interaction_energies	109.65
TIME	parts_108_to_108_interaction_energies	109.55
TIME	parts_111_to_111_interaction_energies	103.88
TIME	parts_116_to_116_interaction_energies	105.7
TIME	parts_117_to_117_interaction_energies	105.18
TIME	parts_110_to_110_interaction_energies	107.47
TIME	parts_119_to_119_interaction_energies	105.64
TIME	parts_118_to_118_interaction_energies	105.54
TIME	parts_112_to_112_interaction_energies	98.48
TIME	parts_113_to_113_interaction_energies	103.37
TIME	parts_120_to_120_interaction_energies	107.41
TIME	parts_121_to_121_interaction_energies	104.45
TIME	parts_114_to_114_interaction_energies	103.95
TIME	parts_123_to_123_interaction_energies	106.39
TIME	parts_124_to_124_interaction_energies	98.27
TIME	parts_122_to_122_interaction_energies	108.66
TIME	parts_115_to_115_interaction_energies	109.99
TIME	parts_125_to_125_interaction_energies	106.98
TIME	parts_126_to_126_interaction_energies	108.08
TIME	parts_127_to_127_interaction_energies	104.1
TIME	parts_129_to_129_interaction_energies	105.61
TIME	parts_133_to_133_interaction_energies	104.4
TIME	parts_128_to_128_interaction_energies	109.39
TIME	parts_130_to_130_interaction_energies	109.13
TIME	parts_132_to_132_interaction_energies	108.02
TIME	parts_131_to_131_interaction_energies	110.79
TIME	parts_135_to_135_interaction_energies	98.69
TIME	parts_134_to_134_interaction_energies	107.46
TIME	parts_136_to_136_interaction_energies	106.63
TIME	parts_137_to_137_interaction_energies	103.76
TIME	parts_139_to_139_interaction_energies	108.2
TIME	parts_140_to_140_interaction_energies	111.04
TIME	parts_141_to_141_interaction_energies	107.78
TIME	parts_138_to_138_interaction_energies	112.19
TIME	parts_142_to_142_interaction_energies	111.66
TIME	parts_144_to_144_interaction_energies	106.95
TIME	parts_143_to_143_interaction_energies	111.58
TIME	parts_145_to_145_interaction_energies	108.61
TIME	parts_146_to_146_interaction_energies	96.76
TIME	parts_148_to_148_interaction_energies	105.88
TIME	parts_147_to_147_interaction_energies	108.33
TIME	parts_149_to_149_interaction_energies	106.74
TIME	parts_155_to_155_interaction_energies	102.37
TIME	parts_152_to_152_interaction_energies	109.51
TIME	parts_150_to_150_interaction_energies	110.87
TIME	parts_151_to_151_interaction_energies	112.62
TIME	parts_153_to_153_interaction_energies	108.26
TIME	parts_154_to_154_interaction_energies	107.04
TIME	parts_156_to_156_interaction_energies	108.6
TIME	parts_157_to_157_interaction_energies	100.19
TIME	parts_159_to_159_interaction_energies	109.83
TIME	parts_162_to_162_interaction_energies	111.85
TIME	parts_164_to_164_interaction_energies	107.73
TIME	parts_163_to_163_interaction_energies	111.85
TIME	parts_165_to_165_interaction_energies	108.03
TIME	parts_168_to_168_interaction_energies	99.85
TIME	parts_166_to_166_interaction_energies	107.99
TIME	parts_170_to_170_interaction_energies	104.57
TIME	parts_176_to_176_interaction_energies	102.81
TIME	parts_171_to_171_interaction_energies	108.81
TIME	parts_175_to_175_interaction_energies	112.17
TIME	parts_182_to_182_interaction_energies	108.23
TIME	parts_180_to_180_interaction_energies	110.21
TIME	parts_181_to_181_interaction_energies	114.09
TIME	parts_183_to_183_interaction_energies	106.96
TIME	parts_184_to_184_interaction_energies	108.32
TIME	parts_187_to_187_interaction_energies	103.78
TIME	parts_185_to_185_interaction_energies	109.59
TIME	parts_189_to_189_interaction_energies	107.64
TIME	parts_188_to_188_interaction_energies	108.13
TIME	parts_191_to_191_interaction_energies	106.45
TIME	parts_192_to_192_interaction_energies	107.89
TIME	parts_186_to_186_interaction_energies	109.85
TIME	parts_190_to_190_interaction_energies	100.81
TIME	parts_193_to_193_interaction_energies	105.51
TIME	parts_194_to_194_interaction_energies	109.2
TIME	parts_195_to_195_interaction_energies	105.25
TIME	parts_235_to_235_interaction_energies	98.29
TIME	parts_234_to_234_interaction_energies	110.39
TIME	parts_292_to_292_interaction_energies	111.7
TIME	parts_297_to_297_interaction_energies	112.25
TIME	parts_291_to_291_interaction_energies	113.06
TIME	parts_290_to_290_interaction_energies	103.07
TIME	parts_334_to_334_interaction_energies	95.0
TIME	parts_380_to_380_interaction_energies	100.09
TIME	parts_333_to_333_interaction_energies	120.31
TIME	parts_379_to_379_interaction_energies	103.11
TIME	parts_429_to_429_interaction_energies	100.61
TIME	parts_427_to_427_interaction_energies	106.21
TIME	parts_298_to_298_interaction_energies	107.7
TIME	parts_335_to_335_interaction_energies	104.87
TIME	parts_378_to_378_interaction_energies	104.69
TIME	parts_377_to_377_interaction_energies	105.01
TIME	parts_428_to_428_interaction_energies	108.0
TIME	parts_575_to_575_interaction_energies	98.71
TIME	parts_579_to_579_interaction_energies	98.46
TIME	parts_578_to_578_interaction_energies	98.99
