START	bench_3qg6	on 2017 May 12 at 23:38:34
TIME	interaction_energies_for_MAPs_part_KCDR3_77	82.35
TIME	interaction_energies_for_MAPs_part_KCDR3_72	79.45
TIME	interaction_energies_for_MAPs_part_KCDR3_74	79.92
TIME	interaction_energies_for_MAPs_part_KCDR3_73	86.32
TIME	interaction_energies_for_MAPs_part_KCDR3_6	78.93
TIME	interaction_energies_for_MAPs_part_KCDR3_71	87.15
TIME	interaction_energies_for_MAPs_part_KCDR3_70	84.11
TIME	interaction_energies_for_MAPs_part_KCDR3_68	81.53
TIME	interaction_energies_for_MAPs_part_KCDR3_90	81.25
TIME	interaction_energies_for_MAPs_part_KCDR3_69	81.78
TIME	interaction_energies_for_MAPs_part_KCDR3_66	83.29
TIME	interaction_energies_for_MAPs_part_KCDR3_67	83.09
TIME	interaction_energies_for_MAPs_part_KCDR3_59	80.21
TIME	interaction_energies_for_MAPs_part_KCDR3_58	80.51
TIME	interaction_energies_for_MAPs_part_KCDR3_65	80.49
TIME	interaction_energies_for_MAPs_part_KCDR3_5	89.43
TIME	interaction_energies_for_MAPs_part_KCDR3_83	80.88
TIME	interaction_energies_for_MAPs_part_KCDR3_4	76.57
TIME	interaction_energies_for_MAPs_part_KCDR3_57	80.91
TIME	interaction_energies_for_MAPs_part_KCDR3_50	79.85
TIME	interaction_energies_for_MAPs_part_KCDR3_51	81.44
TIME	interaction_energies_for_MAPs_part_KCDR3_52	87.06
TIME	interaction_energies_for_MAPs_part_KCDR3_36	81.27
TIME	interaction_energies_for_MAPs_part_KCDR3_37	83.14
TIME	interaction_energies_for_MAPs_part_KCDR3_53	81.17
TIME	interaction_energies_for_MAPs_part_HV_87	198.64
TIME	interaction_energies_for_MAPs_part_HV_84	198.16
TIME	interaction_energies_for_MAPs_part_HV_86	194.99
TIME	interaction_energies_for_MAPs_part_HV_82	204.23
TIME	interaction_energies_for_MAPs_part_HV_88	204.29
TIME	interaction_energies_for_MAPs_part_HV_85	193.68
TIME	interaction_energies_for_MAPs_part_KCDR3_112	81.17
TIME	interaction_energies_for_MAPs_part_HV_74	199.5
TIME	interaction_energies_for_MAPs_part_HV_73	198.52
TIME	interaction_energies_for_MAPs_part_HV_79	201.05
