START	rep1_2qhr_01	on 2017 June 09 at 21:35:35
TIME	parts_507_to_507_interaction_energies	138.2
TIME	parts_150_to_150_interaction_energies	62.12
TIME	parts_151_to_151_interaction_energies	66.68
TIME	parts_453_to_453_interaction_energies	137.08
TIME	parts_497_to_497_interaction_energies	137.98
TIME	parts_187_to_187_interaction_energies	63.24
TIME	parts_199_to_199_interaction_energies	63.31
TIME	parts_536_to_536_interaction_energies	135.47
TIME	parts_274_to_274_interaction_energies	66.3
TIME	parts_188_to_188_interaction_energies	64.45
TIME	parts_415_to_415_interaction_energies	59.46
TIME	parts_245_to_245_interaction_energies	62.92
TIME	parts_423_to_423_interaction_energies	57.46
TIME	parts_355_to_355_interaction_energies	68.25
TIME	parts_369_to_369_interaction_energies	59.91
TIME	parts_257_to_257_interaction_energies	59.11
TIME	parts_479_to_479_interaction_energies	134.63
TIME	parts_166_to_166_interaction_energies	62.24
TIME	parts_235_to_235_interaction_energies	56.92
TIME	parts_517_to_517_interaction_energies	136.68
TIME	parts_381_to_381_interaction_energies	57.93
TIME	parts_454_to_454_interaction_energies	135.73
TIME	parts_308_to_308_interaction_energies	63.55
TIME	parts_398_to_398_interaction_energies	58.75
TIME	parts_399_to_399_interaction_energies	58.66
TIME	parts_204_to_204_interaction_energies	60.97
TIME	parts_527_to_527_interaction_energies	136.76
TIME	parts_526_to_526_interaction_energies	138.13
TIME	parts_333_to_333_interaction_energies	68.33
TIME	parts_367_to_367_interaction_energies	58.49
TIME	parts_565_to_565_interaction_energies	139.52
TIME	parts_370_to_370_interaction_energies	59.57
TIME	parts_260_to_260_interaction_energies	67.29
TIME	parts_259_to_259_interaction_energies	62.9
TIME	parts_440_to_440_interaction_energies	135.01
TIME	parts_439_to_439_interaction_energies	135.21
TIME	parts_378_to_378_interaction_energies	57.58
TIME	parts_382_to_382_interaction_energies	57.38
TIME	parts_310_to_310_interaction_energies	66.22
TIME	parts_309_to_309_interaction_energies	66.74
TIME	parts_573_to_573_interaction_energies	136.27
TIME	parts_498_to_498_interaction_energies	142.77
TIME	parts_205_to_205_interaction_energies	63.77
TIME	parts_325_to_325_interaction_energies	68.7
TIME	parts_416_to_416_interaction_energies	60.22
TIME	parts_424_to_424_interaction_energies	59.28
TIME	parts_283_to_283_interaction_energies	1258.58
TIME	parts_550_to_550_interaction_energies	134.2
TIME	parts_551_to_551_interaction_energies	136.22
TIME	parts_552_to_552_interaction_energies	137.11
TIME	parts_289_to_289_interaction_energies	66.12
TIME	parts_437_to_437_interaction_energies	140.24
TIME	parts_505_to_505_interaction_energies	137.51
TIME	parts_373_to_373_interaction_energies	57.6
TIME	parts_384_to_384_interaction_energies	56.63
TIME	parts_167_to_167_interaction_energies	62.04
TIME	parts_312_to_312_interaction_energies	58.11
TIME	parts_402_to_402_interaction_energies	58.72
TIME	parts_319_to_319_interaction_energies	66.42
TIME	parts_332_to_332_interaction_energies	67.79
TIME	parts_501_to_501_interaction_energies	135.79
TIME	parts_500_to_500_interaction_energies	142.98
TIME	parts_329_to_329_interaction_energies	67.11
TIME	parts_335_to_335_interaction_energies	57.59
TIME	parts_455_to_455_interaction_energies	137.44
TIME	parts_532_to_532_interaction_energies	134.76
TIME	parts_425_to_425_interaction_energies	61.91
TIME	parts_426_to_426_interaction_energies	58.77
TIME	parts_371_to_371_interaction_energies	59.59
TIME	parts_301_to_301_interaction_energies	55.84
TIME	parts_302_to_302_interaction_energies	63.73
TIME	parts_374_to_374_interaction_energies	54.91
TIME	parts_360_to_360_interaction_energies	72.07
TIME	parts_447_to_447_interaction_energies	136.06
TIME	parts_478_to_478_interaction_energies	133.88
TIME	parts_408_to_408_interaction_energies	57.32
TIME	parts_307_to_307_interaction_energies	1268.69
TIME	parts_212_to_212_interaction_energies	55.91
TIME	parts_336_to_336_interaction_energies	65.98
TIME	parts_427_to_427_interaction_energies	59.97
TIME	parts_458_to_458_interaction_energies	138.87
TIME	parts_583_to_583_interaction_energies	59.87
TIME	parts_459_to_459_interaction_energies	135.73
TIME	parts_558_to_558_interaction_energies	137.16
TIME	parts_559_to_559_interaction_energies	133.78
TIME	parts_238_to_238_interaction_energies	62.19
TIME	parts_612_to_612_interaction_energies	56.3
TIME	parts_611_to_611_interaction_energies	57.16
TIME	parts_436_to_436_interaction_energies	138.63
TIME	parts_361_to_361_interaction_energies	72.82
TIME	parts_647_to_647_interaction_energies	61.47
TIME	parts_646_to_646_interaction_energies	58.51
TIME	parts_648_to_648_interaction_energies	58.8
TIME	parts_385_to_385_interaction_energies	54.37
TIME	parts_386_to_386_interaction_energies	58.88
TIME	parts_314_to_314_interaction_energies	65.18
TIME	parts_412_to_412_interaction_energies	58.46
TIME	parts_411_to_411_interaction_energies	60.92
TIME	parts_450_to_450_interaction_energies	135.76
TIME	parts_213_to_213_interaction_energies	62.02
TIME	parts_276_to_276_interaction_energies	70.43
TIME	parts_275_to_275_interaction_energies	65.69
TIME	parts_339_to_339_interaction_energies	67.17
TIME	parts_428_to_428_interaction_energies	60.36
TIME	parts_539_to_539_interaction_energies	133.99
TIME	parts_460_to_460_interaction_energies	136.41
TIME	parts_438_to_438_interaction_energies	131.45
TIME	parts_241_to_241_interaction_energies	63.45
TIME	parts_595_to_595_interaction_energies	58.92
TIME	parts_470_to_470_interaction_energies	138.09
TIME	parts_633_to_633_interaction_energies	57.99
TIME	parts_634_to_634_interaction_energies	59.57
TIME	parts_277_to_277_interaction_energies	65.79
TIME	parts_278_to_278_interaction_energies	61.71
TIME	parts_430_to_430_interaction_energies	60.46
TIME	parts_433_to_433_interaction_energies	57.88
TIME	parts_210_to_210_interaction_energies	1252.86
TIME	parts_431_to_431_interaction_energies	59.43
TIME	parts_461_to_461_interaction_energies	139.43
TIME	parts_242_to_242_interaction_energies	65.14
TIME	parts_261_to_261_interaction_energies	64.7
TIME	parts_290_to_290_interaction_energies	59.1
TIME	parts_298_to_298_interaction_energies	64.09
TIME	parts_299_to_299_interaction_energies	68.52
TIME	parts_295_to_295_interaction_energies	67.89
TIME	parts_300_to_300_interaction_energies	65.92
TIME	parts_362_to_362_interaction_energies	70.17
TIME	parts_363_to_363_interaction_energies	70.82
TIME	parts_364_to_364_interaction_energies	71.19
TIME	parts_279_to_279_interaction_energies	57.16
TIME	parts_280_to_280_interaction_energies	63.37
TIME	parts_322_to_322_interaction_energies	65.87
TIME	parts_341_to_341_interaction_energies	65.95
TIME	parts_340_to_340_interaction_energies	72.15
TIME	parts_365_to_365_interaction_energies	74.5
TIME	parts_366_to_366_interaction_energies	72.97
TIME	parts_372_to_372_interaction_energies	59.54
TIME	parts_387_to_387_interaction_energies	61.87
TIME	parts_388_to_388_interaction_energies	57.31
TIME	parts_389_to_389_interaction_energies	62.27
TIME	parts_390_to_390_interaction_energies	58.21
TIME	parts_391_to_391_interaction_energies	59.09
TIME	parts_392_to_392_interaction_energies	62.21
TIME	parts_394_to_394_interaction_energies	60.99
TIME	parts_395_to_395_interaction_energies	57.07
TIME	parts_396_to_396_interaction_energies	55.36
TIME	parts_409_to_409_interaction_energies	58.34
TIME	parts_410_to_410_interaction_energies	59.68
TIME	parts_413_to_413_interaction_energies	62.51
TIME	parts_414_to_414_interaction_energies	61.58
TIME	parts_417_to_417_interaction_energies	61.31
TIME	parts_419_to_419_interaction_energies	58.35
TIME	parts_420_to_420_interaction_energies	59.78
TIME	parts_434_to_434_interaction_energies	141.11
TIME	parts_435_to_435_interaction_energies	137.49
TIME	parts_441_to_441_interaction_energies	137.19
TIME	parts_442_to_442_interaction_energies	135.93
TIME	parts_444_to_444_interaction_energies	142.26
TIME	parts_445_to_445_interaction_energies	144.18
TIME	parts_446_to_446_interaction_energies	138.98
TIME	parts_449_to_449_interaction_energies	139.87
TIME	parts_451_to_451_interaction_energies	140.14
TIME	parts_429_to_429_interaction_energies	1151.97
TIME	parts_452_to_452_interaction_energies	139.4
TIME	parts_456_to_456_interaction_energies	135.97
TIME	parts_457_to_457_interaction_energies	134.71
TIME	parts_462_to_462_interaction_energies	137.4
TIME	parts_464_to_464_interaction_energies	140.42
TIME	parts_465_to_465_interaction_energies	143.26
TIME	parts_466_to_466_interaction_energies	137.43
TIME	parts_469_to_469_interaction_energies	142.44
TIME	parts_471_to_471_interaction_energies	136.84
TIME	parts_473_to_473_interaction_energies	139.74
TIME	parts_472_to_472_interaction_energies	138.17
TIME	parts_474_to_474_interaction_energies	143.94
TIME	parts_480_to_480_interaction_energies	133.8
TIME	parts_481_to_481_interaction_energies	130.58
TIME	parts_482_to_482_interaction_energies	135.98
TIME	parts_484_to_484_interaction_energies	137.38
TIME	parts_485_to_485_interaction_energies	137.8
TIME	parts_483_to_483_interaction_energies	136.19
TIME	parts_477_to_477_interaction_energies	137.31
TIME	parts_486_to_486_interaction_energies	136.12
TIME	parts_487_to_487_interaction_energies	138.33
TIME	parts_488_to_488_interaction_energies	144.21
TIME	parts_489_to_489_interaction_energies	145.6
TIME	parts_490_to_490_interaction_energies	144.51
TIME	parts_491_to_491_interaction_energies	145.38
TIME	parts_494_to_494_interaction_energies	145.4
TIME	parts_495_to_495_interaction_energies	136.69
TIME	parts_496_to_496_interaction_energies	146.81
TIME	parts_499_to_499_interaction_energies	141.99
TIME	parts_502_to_502_interaction_energies	141.59
TIME	parts_504_to_504_interaction_energies	135.0
TIME	parts_503_to_503_interaction_energies	140.9
TIME	parts_508_to_508_interaction_energies	138.85
TIME	parts_509_to_509_interaction_energies	140.34
TIME	parts_511_to_511_interaction_energies	128.3
TIME	parts_510_to_510_interaction_energies	135.16
TIME	parts_512_to_512_interaction_energies	129.5
TIME	parts_513_to_513_interaction_energies	133.2
TIME	parts_514_to_514_interaction_energies	137.1
TIME	parts_515_to_515_interaction_energies	131.02
TIME	parts_516_to_516_interaction_energies	133.95
TIME	parts_518_to_518_interaction_energies	142.7
TIME	parts_519_to_519_interaction_energies	138.94
TIME	parts_521_to_521_interaction_energies	141.11
TIME	parts_522_to_522_interaction_energies	132.75
TIME	parts_524_to_524_interaction_energies	141.18
TIME	parts_523_to_523_interaction_energies	138.79
