START	1nsn_2017-08-24	on 2017 August 24 at 14:46:00
TIME	parts_287_to_287_interaction_energies	133.27
TIME	parts_288_to_288_interaction_energies	135.3
TIME	parts_290_to_290_interaction_energies	129.69
TIME	parts_292_to_292_interaction_energies	135.96
TIME	parts_291_to_291_interaction_energies	136.49
TIME	parts_289_to_289_interaction_energies	136.7
TIME	parts_293_to_293_interaction_energies	137.68
TIME	parts_296_to_296_interaction_energies	135.86
TIME	parts_294_to_294_interaction_energies	136.22
TIME	parts_295_to_295_interaction_energies	138.22
TIME	parts_301_to_301_interaction_energies	131.03
TIME	parts_300_to_300_interaction_energies	137.13
TIME	parts_298_to_298_interaction_energies	139.56
TIME	parts_297_to_297_interaction_energies	143.16
TIME	parts_299_to_299_interaction_energies	140.88
TIME	parts_306_to_306_interaction_energies	135.51
TIME	parts_307_to_307_interaction_energies	137.6
TIME	parts_303_to_303_interaction_energies	140.96
TIME	parts_302_to_302_interaction_energies	141.5
TIME	parts_305_to_305_interaction_energies	141.17
TIME	parts_304_to_304_interaction_energies	143.08
TIME	parts_308_to_308_interaction_energies	142.76
TIME	parts_309_to_309_interaction_energies	142.9
TIME	parts_310_to_310_interaction_energies	143.9
TIME	parts_312_to_312_interaction_energies	132.74
TIME	parts_311_to_311_interaction_energies	144.16
TIME	parts_313_to_313_interaction_energies	139.67
TIME	parts_315_to_315_interaction_energies	141.35
TIME	parts_314_to_314_interaction_energies	143.52
TIME	parts_318_to_318_interaction_energies	132.76
TIME	parts_317_to_317_interaction_energies	134.97
TIME	parts_316_to_316_interaction_energies	137.86
TIME	parts_320_to_320_interaction_energies	136.63
TIME	parts_323_to_323_interaction_energies	129.05
TIME	parts_322_to_322_interaction_energies	135.74
TIME	parts_321_to_321_interaction_energies	136.17
TIME	parts_319_to_319_interaction_energies	144.58
TIME	parts_324_to_324_interaction_energies	137.2
TIME	parts_325_to_325_interaction_energies	137.35
TIME	parts_326_to_326_interaction_energies	138.17
TIME	parts_327_to_327_interaction_energies	136.95
TIME	parts_328_to_328_interaction_energies	138.62
TIME	parts_330_to_330_interaction_energies	134.83
TIME	parts_334_to_334_interaction_energies	131.56
TIME	parts_329_to_329_interaction_energies	141.29
TIME	parts_331_to_331_interaction_energies	139.05
