START	1nsn_2017-08-24_2	on 2017 August 24 at 15:43:08
TIME	parts_73_to_73_interaction_energies	140.74
TIME	parts_78_to_78_interaction_energies	139.03
TIME	parts_79_to_79_interaction_energies	138.26
TIME	parts_80_to_80_interaction_energies	135.31
TIME	parts_83_to_83_interaction_energies	136.1
TIME	parts_82_to_82_interaction_energies	140.3
TIME	parts_81_to_81_interaction_energies	141.02
TIME	parts_84_to_84_interaction_energies	137.72
TIME	parts_85_to_85_interaction_energies	135.8
TIME	parts_89_to_89_interaction_energies	137.44
TIME	parts_87_to_87_interaction_energies	137.66
TIME	parts_86_to_86_interaction_energies	138.62
TIME	parts_90_to_90_interaction_energies	134.86
TIME	parts_88_to_88_interaction_energies	138.34
TIME	parts_93_to_93_interaction_energies	135.08
TIME	parts_94_to_94_interaction_energies	137.25
TIME	parts_92_to_92_interaction_energies	137.22
TIME	parts_91_to_91_interaction_energies	140.09
TIME	parts_95_to_95_interaction_energies	137.09
TIME	parts_96_to_96_interaction_energies	139.14
TIME	parts_97_to_97_interaction_energies	138.24
TIME	parts_98_to_98_interaction_energies	139.27
TIME	parts_99_to_99_interaction_energies	139.73
TIME	parts_100_to_100_interaction_energies	140.08
TIME	parts_101_to_101_interaction_energies	137.36
TIME	parts_102_to_102_interaction_energies	137.78
TIME	parts_104_to_104_interaction_energies	137.4
TIME	parts_103_to_103_interaction_energies	139.32
TIME	parts_106_to_106_interaction_energies	137.22
TIME	parts_105_to_105_interaction_energies	137.83
TIME	parts_107_to_107_interaction_energies	139.24
TIME	parts_110_to_110_interaction_energies	139.43
TIME	parts_108_to_108_interaction_energies	141.02
TIME	parts_109_to_109_interaction_energies	140.9
TIME	parts_112_to_112_interaction_energies	130.64
TIME	parts_111_to_111_interaction_energies	139.65
TIME	parts_113_to_113_interaction_energies	132.62
TIME	parts_114_to_114_interaction_energies	141.23
TIME	parts_115_to_115_interaction_energies	140.77
TIME	parts_117_to_117_interaction_energies	135.77
TIME	parts_116_to_116_interaction_energies	137.73
TIME	parts_118_to_118_interaction_energies	135.17
TIME	parts_124_to_124_interaction_energies	132.75
TIME	parts_122_to_122_interaction_energies	139.47
TIME	parts_121_to_121_interaction_energies	137.19
TIME	parts_119_to_119_interaction_energies	139.42
TIME	parts_120_to_120_interaction_energies	139.35
TIME	parts_123_to_123_interaction_energies	136.48
TIME	parts_125_to_125_interaction_energies	137.27
TIME	parts_126_to_126_interaction_energies	139.22
TIME	parts_127_to_127_interaction_energies	137.61
TIME	parts_128_to_128_interaction_energies	141.6
TIME	parts_129_to_129_interaction_energies	138.45
TIME	parts_130_to_130_interaction_energies	141.11
TIME	parts_135_to_135_interaction_energies	133.25
TIME	parts_132_to_132_interaction_energies	139.41
TIME	parts_131_to_131_interaction_energies	140.18
