START	rep1_2igf_01	on 2017 June 13 at 03:02:31
TIME	parts_170_to_170_interaction_energies	100.31
TIME	parts_172_to_172_interaction_energies	93.67
TIME	parts_178_to_178_interaction_energies	95.57
TIME	parts_173_to_173_interaction_energies	100.77
TIME	parts_175_to_175_interaction_energies	102.25
TIME	parts_174_to_174_interaction_energies	102.05
TIME	parts_171_to_171_interaction_energies	94.84
TIME	parts_177_to_177_interaction_energies	100.37
TIME	parts_176_to_176_interaction_energies	100.3
TIME	parts_208_to_208_interaction_energies	97.57
TIME	parts_183_to_183_interaction_energies	93.58
TIME	parts_184_to_184_interaction_energies	93.33
TIME	parts_182_to_182_interaction_energies	97.91
TIME	parts_181_to_181_interaction_energies	104.43
TIME	parts_187_to_187_interaction_energies	100.75
TIME	parts_186_to_186_interaction_energies	100.02
TIME	parts_185_to_185_interaction_energies	97.46
TIME	parts_179_to_179_interaction_energies	88.71
TIME	parts_190_to_190_interaction_energies	89.59
TIME	parts_189_to_189_interaction_energies	95.56
TIME	parts_195_to_195_interaction_energies	97.32
TIME	parts_196_to_196_interaction_energies	97.47
TIME	parts_191_to_191_interaction_energies	92.2
TIME	parts_193_to_193_interaction_energies	97.14
TIME	parts_197_to_197_interaction_energies	101.55
TIME	parts_188_to_188_interaction_energies	100.96
TIME	parts_180_to_180_interaction_energies	101.25
TIME	parts_194_to_194_interaction_energies	100.58
TIME	parts_192_to_192_interaction_energies	97.33
TIME	parts_203_to_203_interaction_energies	95.36
TIME	parts_201_to_201_interaction_energies	96.39
TIME	parts_198_to_198_interaction_energies	99.68
TIME	parts_199_to_199_interaction_energies	99.16
TIME	parts_200_to_200_interaction_energies	100.39
TIME	parts_202_to_202_interaction_energies	99.11
TIME	parts_212_to_212_interaction_energies	92.78
TIME	parts_204_to_204_interaction_energies	97.45
TIME	parts_209_to_209_interaction_energies	99.07
TIME	parts_213_to_213_interaction_energies	98.2
TIME	parts_211_to_211_interaction_energies	91.17
TIME	parts_207_to_207_interaction_energies	101.51
TIME	parts_206_to_206_interaction_energies	99.02
TIME	parts_210_to_210_interaction_energies	98.76
TIME	parts_205_to_205_interaction_energies	104.36
TIME	parts_219_to_219_interaction_energies	94.12
TIME	parts_215_to_215_interaction_energies	100.19
TIME	parts_217_to_217_interaction_energies	103.2
TIME	parts_214_to_214_interaction_energies	99.11
TIME	parts_218_to_218_interaction_energies	100.56
TIME	parts_216_to_216_interaction_energies	100.2
TIME	parts_223_to_223_interaction_energies	84.18
TIME	parts_224_to_224_interaction_energies	89.91
TIME	parts_222_to_222_interaction_energies	96.01
TIME	parts_221_to_221_interaction_energies	101.42
TIME	parts_225_to_225_interaction_energies	100.39
TIME	parts_227_to_227_interaction_energies	101.27
TIME	parts_226_to_226_interaction_energies	102.58
TIME	parts_220_to_220_interaction_energies	103.87
TIME	parts_228_to_228_interaction_energies	102.57
TIME	parts_229_to_229_interaction_energies	108.58
TIME	parts_236_to_236_interaction_energies	101.06
TIME	parts_230_to_230_interaction_energies	101.67
TIME	parts_232_to_232_interaction_energies	103.53
TIME	parts_233_to_233_interaction_energies	95.36
TIME	parts_235_to_235_interaction_energies	99.58
TIME	parts_234_to_234_interaction_energies	96.81
TIME	parts_231_to_231_interaction_energies	102.4
TIME	parts_239_to_239_interaction_energies	96.54
TIME	parts_238_to_238_interaction_energies	97.49
TIME	parts_237_to_237_interaction_energies	102.25
TIME	parts_246_to_246_interaction_energies	91.49
TIME	parts_240_to_240_interaction_energies	100.17
TIME	parts_243_to_243_interaction_energies	101.86
TIME	parts_244_to_244_interaction_energies	97.67
TIME	parts_245_to_245_interaction_energies	105.07
TIME	parts_241_to_241_interaction_energies	100.8
TIME	parts_242_to_242_interaction_energies	103.45
TIME	parts_248_to_248_interaction_energies	97.65
TIME	parts_249_to_249_interaction_energies	100.48
TIME	parts_247_to_247_interaction_energies	97.06
TIME	parts_257_to_257_interaction_energies	91.31
TIME	parts_251_to_251_interaction_energies	100.34
TIME	parts_250_to_250_interaction_energies	103.38
TIME	parts_254_to_254_interaction_energies	102.14
TIME	parts_255_to_255_interaction_energies	96.33
TIME	parts_256_to_256_interaction_energies	104.48
TIME	parts_252_to_252_interaction_energies	101.08
TIME	parts_253_to_253_interaction_energies	100.95
TIME	parts_259_to_259_interaction_energies	95.64
TIME	parts_258_to_258_interaction_energies	98.89
TIME	parts_260_to_260_interaction_energies	96.37
TIME	parts_261_to_261_interaction_energies	97.46
TIME	parts_262_to_262_interaction_energies	101.17
TIME	parts_263_to_263_interaction_energies	103.89
TIME	parts_268_to_268_interaction_energies	90.4
TIME	parts_265_to_265_interaction_energies	99.37
TIME	parts_266_to_266_interaction_energies	99.89
TIME	parts_267_to_267_interaction_energies	98.75
TIME	parts_269_to_269_interaction_energies	101.95
TIME	parts_264_to_264_interaction_energies	101.14
TIME	parts_270_to_270_interaction_energies	102.42
TIME	parts_273_to_273_interaction_energies	94.05
TIME	parts_272_to_272_interaction_energies	97.11
TIME	parts_271_to_271_interaction_energies	100.11
TIME	parts_274_to_274_interaction_energies	103.49
TIME	parts_275_to_275_interaction_energies	108.02
TIME	parts_278_to_278_interaction_energies	92.76
TIME	parts_279_to_279_interaction_energies	96.63
TIME	parts_277_to_277_interaction_energies	104.46
TIME	parts_276_to_276_interaction_energies	104.74
TIME	parts_280_to_280_interaction_energies	96.98
TIME	parts_281_to_281_interaction_energies	99.41
TIME	parts_282_to_282_interaction_energies	101.03
TIME	parts_283_to_283_interaction_energies	101.04
TIME	parts_286_to_286_interaction_energies	101.86
TIME	parts_285_to_285_interaction_energies	105.14
TIME	parts_284_to_284_interaction_energies	106.16
TIME	parts_290_to_290_interaction_energies	91.05
TIME	parts_291_to_291_interaction_energies	102.53
TIME	parts_288_to_288_interaction_energies	104.05
TIME	parts_289_to_289_interaction_energies	99.45
TIME	parts_287_to_287_interaction_energies	100.85
TIME	parts_294_to_294_interaction_energies	98.03
TIME	parts_296_to_296_interaction_energies	96.81
TIME	parts_293_to_293_interaction_energies	101.59
TIME	parts_292_to_292_interaction_energies	102.24
TIME	parts_295_to_295_interaction_energies	106.45
TIME	parts_297_to_297_interaction_energies	107.94
TIME	parts_301_to_301_interaction_energies	93.17
TIME	parts_298_to_298_interaction_energies	100.85
TIME	parts_302_to_302_interaction_energies	102.01
TIME	parts_299_to_299_interaction_energies	97.97
TIME	parts_300_to_300_interaction_energies	105.06
TIME	parts_303_to_303_interaction_energies	101.31
TIME	parts_307_to_307_interaction_energies	99.33
TIME	parts_304_to_304_interaction_energies	101.22
TIME	parts_306_to_306_interaction_energies	103.68
TIME	parts_305_to_305_interaction_energies	107.75
TIME	parts_323_to_323_interaction_energies	90.98
TIME	parts_312_to_312_interaction_energies	89.05
TIME	parts_308_to_308_interaction_energies	101.24
TIME	parts_311_to_311_interaction_energies	103.19
TIME	parts_310_to_310_interaction_energies	109.35
TIME	parts_309_to_309_interaction_energies	101.52
TIME	parts_318_to_318_interaction_energies	94.73
TIME	parts_313_to_313_interaction_energies	99.83
TIME	parts_315_to_315_interaction_energies	99.88
TIME	parts_317_to_317_interaction_energies	99.82
TIME	parts_314_to_314_interaction_energies	101.25
TIME	parts_316_to_316_interaction_energies	115.2
TIME	parts_321_to_321_interaction_energies	97.68
TIME	parts_322_to_322_interaction_energies	100.01
TIME	parts_319_to_319_interaction_energies	102.17
TIME	parts_320_to_320_interaction_energies	110.71
TIME	parts_327_to_327_interaction_energies	99.23
TIME	parts_326_to_326_interaction_energies	103.27
TIME	parts_324_to_324_interaction_energies	103.65
TIME	parts_325_to_325_interaction_energies	110.51
TIME	parts_331_to_331_interaction_energies	97.08
TIME	parts_328_to_328_interaction_energies	103.34
TIME	parts_329_to_329_interaction_energies	105.98
TIME	parts_332_to_332_interaction_energies	104.45
TIME	parts_330_to_330_interaction_energies	104.42
TIME	parts_334_to_334_interaction_energies	82.19
TIME	parts_335_to_335_interaction_energies	87.82
TIME	parts_336_to_336_interaction_energies	104.99
TIME	parts_337_to_337_interaction_energies	102.58
TIME	parts_333_to_333_interaction_energies	111.75
TIME	parts_352_to_352_interaction_energies	103.89
TIME	parts_339_to_339_interaction_energies	102.16
TIME	parts_338_to_338_interaction_energies	105.23
TIME	parts_343_to_343_interaction_energies	105.83
TIME	parts_341_to_341_interaction_energies	102.85
TIME	parts_342_to_342_interaction_energies	110.06
TIME	parts_340_to_340_interaction_energies	111.39
TIME	parts_346_to_346_interaction_energies	95.1
TIME	parts_344_to_344_interaction_energies	106.58
TIME	parts_345_to_345_interaction_energies	105.88
TIME	parts_348_to_348_interaction_energies	104.89
TIME	parts_349_to_349_interaction_energies	102.81
TIME	parts_347_to_347_interaction_energies	107.13
TIME	parts_353_to_353_interaction_energies	105.95
TIME	parts_355_to_355_interaction_energies	105.85
TIME	parts_354_to_354_interaction_energies	108.74
TIME	parts_351_to_351_interaction_energies	109.18
TIME	parts_350_to_350_interaction_energies	108.86
TIME	parts_357_to_357_interaction_energies	88.0
TIME	parts_358_to_358_interaction_energies	99.98
TIME	parts_356_to_356_interaction_energies	109.53
TIME	parts_363_to_363_interaction_energies	107.81
TIME	parts_361_to_361_interaction_energies	109.18
TIME	parts_362_to_362_interaction_energies	111.29
TIME	parts_360_to_360_interaction_energies	112.53
TIME	parts_359_to_359_interaction_energies	114.87
TIME	parts_368_to_368_interaction_energies	90.7
TIME	parts_370_to_370_interaction_energies	90.5
TIME	parts_369_to_369_interaction_energies	90.69
TIME	parts_367_to_367_interaction_energies	92.22
TIME	parts_366_to_366_interaction_energies	111.21
TIME	parts_371_to_371_interaction_energies	88.43
TIME	parts_365_to_365_interaction_energies	111.98
TIME	parts_364_to_364_interaction_energies	112.84
TIME	parts_373_to_373_interaction_energies	85.73
TIME	parts_374_to_374_interaction_energies	85.56
TIME	parts_372_to_372_interaction_energies	94.95
TIME	parts_375_to_375_interaction_energies	93.34
TIME	parts_376_to_376_interaction_energies	88.08
TIME	parts_377_to_377_interaction_energies	91.67
TIME	parts_378_to_378_interaction_energies	88.21
TIME	parts_379_to_379_interaction_energies	94.85
TIME	parts_380_to_380_interaction_energies	87.66
TIME	parts_382_to_382_interaction_energies	86.66
TIME	parts_383_to_383_interaction_energies	89.23
TIME	parts_381_to_381_interaction_energies	91.38
TIME	parts_385_to_385_interaction_energies	84.06
TIME	parts_384_to_384_interaction_energies	88.11
TIME	parts_387_to_387_interaction_energies	91.43
TIME	parts_386_to_386_interaction_energies	90.37
TIME	parts_402_to_402_interaction_energies	92.41
TIME	parts_388_to_388_interaction_energies	92.73
TIME	parts_389_to_389_interaction_energies	95.26
TIME	parts_390_to_390_interaction_energies	88.08
TIME	parts_393_to_393_interaction_energies	90.45
TIME	parts_392_to_392_interaction_energies	92.8
TIME	parts_391_to_391_interaction_energies	96.9
TIME	parts_395_to_395_interaction_energies	88.88
TIME	parts_394_to_394_interaction_energies	92.09
TIME	parts_396_to_396_interaction_energies	83.66
TIME	parts_398_to_398_interaction_energies	88.0
TIME	parts_397_to_397_interaction_energies	90.04
TIME	parts_399_to_399_interaction_energies	91.32
TIME	parts_400_to_400_interaction_energies	93.18
TIME	parts_401_to_401_interaction_energies	91.61
TIME	parts_403_to_403_interaction_energies	90.82
TIME	parts_406_to_406_interaction_energies	93.94
TIME	parts_405_to_405_interaction_energies	91.16
TIME	parts_404_to_404_interaction_energies	91.66
TIME	parts_407_to_407_interaction_energies	95.15
TIME	parts_408_to_408_interaction_energies	100.66
