START	bench_2or9	on 2017 May 12 at 22:38:03
TIME	interaction_energies_for_MAPs_part_KCDR3_117	44.82
TIME	interaction_energies_for_MAPs_part_KCDR3_118	46.32
TIME	interaction_energies_for_MAPs_part_KCDR3_119	45.16
TIME	interaction_energies_for_MAPs_part_KCDR3_11	44.96
TIME	interaction_energies_for_MAPs_part_KCDR3_111	43.51
TIME	interaction_energies_for_MAPs_part_KCDR3_112	44.37
TIME	interaction_energies_for_MAPs_part_KCDR3_113	45.3
TIME	interaction_energies_for_MAPs_part_KCDR3_110	43.59
TIME	interaction_energies_for_MAPs_part_KCDR3_106	46.24
TIME	interaction_energies_for_MAPs_part_KCDR3_114	47.03
TIME	interaction_energies_for_MAPs_part_KCDR3_105	44.64
TIME	interaction_energies_for_MAPs_part_KCDR3_10	45.83
TIME	interaction_energies_for_MAPs_part_KCDR3_109	44.78
TIME	interaction_energies_for_MAPs_part_KCDR3_107	45.37
TIME	interaction_energies_for_MAPs_part_KCDR3_108	45.96
TIME	interaction_energies_for_MAPs_part_KCDR3_102	44.94
TIME	interaction_energies_for_MAPs_part_KCDR3_103	44.41
TIME	interaction_energies_for_MAPs_part_KCDR3_104	44.36
TIME	interaction_energies_for_MAPs_part_KCDR3_182	44.29
TIME	interaction_energies_for_MAPs_part_KCDR3_101	44.42
TIME	interaction_energies_for_MAPs_part_KCDR3_100	44.12
TIME	interaction_energies_for_MAPs_part_KCDR3_99	44.06
TIME	interaction_energies_for_MAPs_part_KCDR3_95	44.66
TIME	interaction_energies_for_MAPs_part_KCDR3_98	45.68
TIME	interaction_energies_for_MAPs_part_KCDR3_97	43.78
TIME	interaction_energies_for_MAPs_part_KCDR3_96	43.56
TIME	interaction_energies_for_MAPs_part_KCDR3_9	45.78
TIME	interaction_energies_for_MAPs_part_KCDR3_93	43.56
TIME	interaction_energies_for_MAPs_part_KCDR3_90	44.23
TIME	interaction_energies_for_MAPs_part_KCDR3_91	45.37
TIME	interaction_energies_for_MAPs_part_KCDR3_92	45.02
TIME	interaction_energies_for_MAPs_part_KCDR3_85	43.49
TIME	interaction_energies_for_MAPs_part_KCDR3_8	44.19
TIME	interaction_energies_for_MAPs_part_KCDR3_89	43.65
TIME	interaction_energies_for_MAPs_part_KCDR3_84	43.99
TIME	interaction_energies_for_MAPs_part_KCDR3_86	45.18
TIME	interaction_energies_for_MAPs_part_KCDR3_87	45.0
TIME	interaction_energies_for_MAPs_part_KCDR3_88	45.06
TIME	interaction_energies_for_MAPs_part_KCDR3_82	43.22
TIME	interaction_energies_for_MAPs_part_KCDR3_83	46.35
TIME	interaction_energies_for_MAPs_part_KCDR3_7	44.0
TIME	interaction_energies_for_MAPs_part_KCDR3_77	45.39
TIME	interaction_energies_for_MAPs_part_KCDR3_81	45.55
TIME	interaction_energies_for_MAPs_part_KCDR3_80	45.88
TIME	interaction_energies_for_MAPs_part_KCDR3_78	45.65
TIME	interaction_energies_for_MAPs_part_KCDR3_79	46.04
TIME	interaction_energies_for_MAPs_part_KCDR3_74	44.92
TIME	interaction_energies_for_MAPs_part_KCDR3_75	44.9
TIME	interaction_energies_for_MAPs_part_KCDR3_76	44.92
TIME	interaction_energies_for_MAPs_part_KCDR3_73	43.85
TIME	interaction_energies_for_MAPs_part_KCDR3_72	44.36
TIME	interaction_energies_for_MAPs_part_KCDR3_69	45.14
TIME	interaction_energies_for_MAPs_part_KCDR3_71	46.69
TIME	interaction_energies_for_MAPs_part_KCDR3_6	43.22
TIME	interaction_energies_for_MAPs_part_KCDR3_70	44.45
TIME	interaction_energies_for_MAPs_part_KCDR3_68	46.24
TIME	interaction_energies_for_MAPs_part_KCDR3_67	45.0
TIME	interaction_energies_for_MAPs_part_KCDR3_66	44.95
TIME	interaction_energies_for_MAPs_part_KCDR3_65	44.0
TIME	interaction_energies_for_MAPs_part_KCDR3_63	45.5
TIME	interaction_energies_for_MAPs_part_KCDR3_64	45.84
TIME	interaction_energies_for_MAPs_part_KCDR3_60	44.24
TIME	interaction_energies_for_MAPs_part_KCDR3_5	42.89
TIME	interaction_energies_for_MAPs_part_KCDR3_61	44.69
TIME	interaction_energies_for_MAPs_part_KCDR3_62	46.56
TIME	interaction_energies_for_MAPs_part_KCDR3_59	45.2
TIME	interaction_energies_for_MAPs_part_KCDR3_58	46.53
TIME	interaction_energies_for_MAPs_part_KCDR3_55	45.35
TIME	interaction_energies_for_MAPs_part_KCDR3_56	44.79
TIME	interaction_energies_for_MAPs_part_KCDR3_57	44.49
TIME	interaction_energies_for_MAPs_part_KCDR3_49	45.02
TIME	interaction_energies_for_MAPs_part_KCDR3_52	45.65
TIME	interaction_energies_for_MAPs_part_KCDR3_51	43.7
TIME	interaction_energies_for_MAPs_part_KCDR3_48	44.86
TIME	interaction_energies_for_MAPs_part_KCDR3_53	46.15
TIME	interaction_energies_for_MAPs_part_KCDR3_4	44.14
TIME	interaction_energies_for_MAPs_part_KCDR3_50	45.2
TIME	interaction_energies_for_MAPs_part_KCDR3_47	44.56
TIME	interaction_energies_for_MAPs_part_KCDR3_42	44.54
TIME	interaction_energies_for_MAPs_part_KCDR3_46	45.38
TIME	interaction_energies_for_MAPs_part_KCDR3_41	43.84
TIME	interaction_energies_for_MAPs_part_KCDR3_45	46.14
TIME	interaction_energies_for_MAPs_part_KCDR3_43	44.5
TIME	interaction_energies_for_MAPs_part_KCDR3_44	44.72
TIME	interaction_energies_for_MAPs_part_KCDR3_3	42.32
TIME	interaction_energies_for_MAPs_part_KCDR3_40	43.47
TIME	interaction_energies_for_MAPs_part_KCDR3_38	43.99
TIME	interaction_energies_for_MAPs_part_KCDR3_39	46.04
TIME	interaction_energies_for_MAPs_part_KCDR3_37	43.71
TIME	interaction_energies_for_MAPs_part_KCDR3_36	43.82
TIME	interaction_energies_for_MAPs_part_HV_88	102.74
TIME	interaction_energies_for_MAPs_part_HV_87	104.34
TIME	interaction_energies_for_MAPs_part_HV_85	98.94
TIME	interaction_energies_for_MAPs_part_HV_86	102.12
TIME	interaction_energies_for_MAPs_part_HV_84	101.84
TIME	interaction_energies_for_MAPs_part_HV_82	104.27
TIME	interaction_energies_for_MAPs_part_HV_83	105.75
TIME	interaction_energies_for_MAPs_part_HV_81	104.38
TIME	interaction_energies_for_MAPs_part_HV_80	104.24
TIME	interaction_energies_for_MAPs_part_HV_7	105.95
TIME	interaction_energies_for_MAPs_part_HV_78	102.55
TIME	interaction_energies_for_MAPs_part_HV_6	105.66
TIME	interaction_energies_for_MAPs_part_HV_72	103.18
TIME	interaction_energies_for_MAPs_part_HV_70	101.68
TIME	interaction_energies_for_MAPs_part_HV_71	103.98
TIME	interaction_energies_for_MAPs_part_HV_73	103.85
TIME	interaction_energies_for_MAPs_part_HV_77	107.17
TIME	interaction_energies_for_MAPs_part_HV_76	106.93
TIME	interaction_energies_for_MAPs_part_HV_74	104.78
TIME	interaction_energies_for_MAPs_part_HV_75	103.8
TIME	interaction_energies_for_MAPs_part_HV_68	103.05
TIME	interaction_energies_for_MAPs_part_HV_69	103.33
TIME	interaction_energies_for_MAPs_part_HV_65	104.3
TIME	interaction_energies_for_MAPs_part_HV_66	102.5
TIME	interaction_energies_for_MAPs_part_HV_67	102.69
TIME	interaction_energies_for_MAPs_part_HV_64	102.99
TIME	interaction_energies_for_MAPs_part_HV_62	102.3
TIME	interaction_energies_for_MAPs_part_HV_63	102.83
TIME	interaction_energies_for_MAPs_part_HV_60	102.29
TIME	interaction_energies_for_MAPs_part_HV_61	106.5
TIME	interaction_energies_for_MAPs_part_KCDR3_94	43.83
TIME	interaction_energies_for_MAPs_part_HV_58	102.15
TIME	interaction_energies_for_MAPs_part_HV_59	102.5
TIME	interaction_energies_for_MAPs_part_HV_57	101.6
TIME	interaction_energies_for_MAPs_part_HV_56	106.02
TIME	interaction_energies_for_MAPs_part_HV_55	103.56
TIME	interaction_energies_for_MAPs_part_HV_54	106.27
TIME	interaction_energies_for_MAPs_part_HV_53	104.87
TIME	interaction_energies_for_MAPs_part_HV_52	105.69
TIME	interaction_energies_for_MAPs_part_HV_51	105.46
TIME	interaction_energies_for_MAPs_part_HV_50	105.05
TIME	interaction_energies_for_MAPs_part_HV_4	103.3
TIME	interaction_energies_for_MAPs_part_HV_43	102.79
TIME	interaction_energies_for_MAPs_part_HV_46	102.9
TIME	interaction_energies_for_MAPs_part_HV_44	101.71
TIME	interaction_energies_for_MAPs_part_HV_45	104.92
TIME	interaction_energies_for_MAPs_part_HV_47	106.11
TIME	interaction_energies_for_MAPs_part_HV_48	106.37
TIME	interaction_energies_for_MAPs_part_HV_49	108.13
TIME	interaction_energies_for_MAPs_part_HV_3	104.79
TIME	interaction_energies_for_MAPs_part_HV_40	105.91
TIME	interaction_energies_for_MAPs_part_HV_42	104.4
TIME	interaction_energies_for_MAPs_part_HV_41	104.72
TIME	interaction_energies_for_MAPs_part_HV_37	106.83
TIME	interaction_energies_for_MAPs_part_HV_38	105.6
TIME	interaction_energies_for_MAPs_part_HV_39	106.17
TIME	interaction_energies_for_MAPs_part_HV_36	105.28
TIME	interaction_energies_for_MAPs_part_KCDR3_54	44.48
TIME	interaction_energies_for_MAPs_part_HV_35	103.76
TIME	interaction_energies_for_MAPs_part_HV_34	103.95
TIME	interaction_energies_for_MAPs_part_HV_33	106.07
TIME	interaction_energies_for_MAPs_part_HV_32	107.7
TIME	interaction_energies_for_MAPs_part_HV_30	107.97
TIME	interaction_energies_for_MAPs_part_HV_31	107.92
TIME	interaction_energies_for_MAPs_part_HV_2	100.95
TIME	interaction_energies_for_MAPs_part_HV_14	102.34
TIME	interaction_energies_for_MAPs_part_HV_20	106.01
TIME	interaction_energies_for_MAPs_part_HV_21	109.1
TIME	interaction_energies_for_MAPs_part_HV_19	107.85
TIME	interaction_energies_for_MAPs_part_HV_18	103.75
TIME	interaction_energies_for_MAPs_part_HV_1	104.46
TIME	interaction_energies_for_MAPs_part_HV_137	104.32
TIME	interaction_energies_for_MAPs_part_HV_132	107.29
TIME	interaction_energies_for_MAPs_part_HV_131	107.58
TIME	interaction_energies_for_MAPs_part_HV_134	107.92
TIME	interaction_energies_for_MAPs_part_HV_128	104.74
TIME	interaction_energies_for_MAPs_part_HV_133	106.25
TIME	interaction_energies_for_MAPs_part_HV_124	106.01
TIME	interaction_energies_for_MAPs_part_HV_123	105.93
TIME	interaction_energies_for_MAPs_part_HV_125	104.71
TIME	interaction_energies_for_MAPs_part_HV_130	106.46
TIME	interaction_energies_for_MAPs_part_HV_12	107.31
TIME	interaction_energies_for_MAPs_part_HV_129	113.74
TIME	interaction_energies_for_MAPs_part_HV_135	105.7
TIME	interaction_energies_for_MAPs_part_HV_120	104.63
TIME	interaction_energies_for_MAPs_part_HV_79	107.21
TIME	interaction_energies_for_MAPs_part_HV_119	107.28
TIME	interaction_energies_for_MAPs_part_HV_121	107.23
TIME	interaction_energies_for_MAPs_part_HV_122	107.01
TIME	interaction_energies_for_MAPs_part_HV_127	111.16
TIME	interaction_energies_for_MAPs_part_HV_11	102.7
TIME	interaction_energies_for_MAPs_part_HV_10	103.71
TIME	interaction_energies_for_MAPs_part_HV_109	103.14
TIME	interaction_energies_for_MAPs_part_HV_110	104.79
TIME	interaction_energies_for_MAPs_part_HCDR3_1	40.04
TIME	interaction_energies_for_MAPs_part_HCDR3_19	43.59
TIME	interaction_energies_for_MAPs_part_HCDR3_212	45.68
TIME	interaction_energies_for_MAPs_part_HCDR3_199	46.02
TIME	interaction_energies_for_MAPs_part_HCDR3_209	47.53
TIME	interaction_energies_for_MAPs_part_HCDR3_20	44.08
TIME	interaction_energies_for_MAPs_part_HCDR3_193	49.19
TIME	interaction_energies_for_MAPs_part_HCDR3_194	47.5
TIME	interaction_energies_for_MAPs_part_HCDR3_204	46.66
TIME	interaction_energies_for_MAPs_part_HCDR3_203	46.76
TIME	interaction_energies_for_MAPs_part_HCDR3_208	47.74
TIME	interaction_energies_for_MAPs_part_HV_5	105.25
TIME	interaction_energies_for_MAPs_part_HCDR3_18	43.62
TIME	interaction_energies_for_MAPs_part_HV_101	105.71
TIME	interaction_energies_for_MAPs_part_HV_100	104.77
TIME	interaction_energies_for_MAPs_part_HCDR3_192	48.56
TIME	interaction_energies_for_MAPs_part_HCDR3_189	49.12
TIME	interaction_energies_for_MAPs_part_HV_93	107.36
TIME	interaction_energies_for_MAPs_part_HCDR3_175	45.83
TIME	interaction_energies_for_MAPs_part_HV_92	109.38
TIME	interaction_energies_for_MAPs_part_HCDR3_62	44.65
TIME	interaction_energies_for_MAPs_part_HCDR3_69	45.24
TIME	interaction_energies_for_MAPs_part_HV_91	108.3
TIME	interaction_energies_for_MAPs_part_HCDR3_63	45.95
TIME	interaction_energies_for_MAPs_part_HCDR3_72	47.43
TIME	interaction_energies_for_MAPs_part_HCDR3_174	49.47
TIME	interaction_energies_for_MAPs_part_HCDR3_84	44.94
TIME	interaction_energies_for_MAPs_part_HCDR3_162	46.33
TIME	interaction_energies_for_MAPs_part_HCDR3_83	46.66
TIME	interaction_energies_for_MAPs_part_HCDR3_164	48.38
TIME	interaction_energies_for_MAPs_part_HCDR3_87	45.91
TIME	interaction_energies_for_MAPs_part_HCDR3_160	46.24
TIME	interaction_energies_for_MAPs_part_HCDR3_14	42.45
TIME	interaction_energies_for_MAPs_part_HCDR3_90	45.08
TIME	interaction_energies_for_MAPs_part_HCDR3_147	45.85
TIME	interaction_energies_for_MAPs_part_HCDR3_153	48.08
