START	bench_3bae	on 2017 May 14 at 17:59:23
TIME	interaction_energies_for_MAPs_part_HV_124	154.85
TIME	interaction_energies_for_MAPs_part_HV_120	157.24
TIME	interaction_energies_for_MAPs_part_HV_122	154.89
TIME	interaction_energies_for_MAPs_part_HV_123	157.89
TIME	interaction_energies_for_MAPs_part_HV_11	154.65
TIME	interaction_energies_for_MAPs_part_HV_121	157.41
TIME	interaction_energies_for_MAPs_part_HV_119	156.29
TIME	interaction_energies_for_MAPs_part_HV_118	158.19
TIME	interaction_energies_for_MAPs_part_HV_117	155.96
TIME	interaction_energies_for_MAPs_part_HV_116	157.11
TIME	interaction_energies_for_MAPs_part_HV_141	168.53
TIME	interaction_energies_for_MAPs_part_HV_115	154.72
TIME	interaction_energies_for_MAPs_part_HV_113	156.32
TIME	interaction_energies_for_MAPs_part_HV_114	165.3
TIME	interaction_energies_for_MAPs_part_HV_112	156.38
TIME	interaction_energies_for_MAPs_part_HV_111	157.58
TIME	interaction_energies_for_MAPs_part_HV_108	155.01
TIME	interaction_energies_for_MAPs_part_HV_107	153.88
TIME	interaction_energies_for_MAPs_part_HJ_4	63.55
TIME	interaction_energies_for_MAPs_part_HV_106	155.27
TIME	interaction_energies_for_MAPs_part_HV_105	153.75
TIME	interaction_energies_for_MAPs_part_HJ_3	62.33
TIME	interaction_energies_for_MAPs_part_HJ_2	65.75
TIME	interaction_energies_for_MAPs_part_HV_102	154.91
TIME	interaction_energies_for_MAPs_part_HV_104	153.63
TIME	interaction_energies_for_MAPs_part_HV_103	157.81
TIME	interaction_energies_for_MAPs_part_HJ_1	62.6
TIME	interaction_energies_for_MAPs_part_HV_101	158.44
TIME	interaction_energies_for_MAPs_part_HV_100	158.22
TIME	interaction_energies_for_MAPs_part_HCDR3_215	68.91
TIME	interaction_energies_for_MAPs_part_HV_10	153.87
TIME	interaction_energies_for_MAPs_part_HV_110	160.03
TIME	interaction_energies_for_MAPs_part_HV_9	158.03
TIME	interaction_energies_for_MAPs_part_HV_98	157.09
TIME	interaction_energies_for_MAPs_part_HV_99	160.74
TIME	interaction_energies_for_MAPs_part_HV_97	156.54
TIME	interaction_energies_for_MAPs_part_HV_95	154.65
TIME	interaction_energies_for_MAPs_part_HV_93	156.92
TIME	interaction_energies_for_MAPs_part_HV_94	157.26
TIME	interaction_energies_for_MAPs_part_HV_96	159.28
TIME	interaction_energies_for_MAPs_part_HCDR3_212	63.65
TIME	interaction_energies_for_MAPs_part_KCDR3_127	1193.35
TIME	interaction_energies_for_MAPs_part_HV_92	164.77
TIME	interaction_energies_for_MAPs_part_HV_91	160.03
TIME	interaction_energies_for_MAPs_part_HV_8	155.91
TIME	interaction_energies_for_MAPs_part_HCDR3_20	61.08
TIME	interaction_energies_for_MAPs_part_HV_90	163.08
TIME	interaction_energies_for_MAPs_part_HV_89	156.2
TIME	interaction_energies_for_MAPs_part_HJ_5	73.43
TIME	interaction_energies_for_MAPs_part_HCDR3_1	58.86
TIME	interaction_energies_for_MAPs_part_HCDR3_209	64.43
TIME	interaction_energies_for_MAPs_part_HCDR3_208	66.77
TIME	interaction_energies_for_MAPs_part_HCDR3_204	64.97
TIME	interaction_energies_for_MAPs_part_HCDR3_203	65.95
TIME	interaction_energies_for_MAPs_part_HCDR3_19	61.45
TIME	interaction_energies_for_MAPs_part_HCDR3_199	63.83
TIME	interaction_energies_for_MAPs_part_HCDR3_194	65.45
TIME	interaction_energies_for_MAPs_part_HCDR3_193	67.36
TIME	interaction_energies_for_MAPs_part_HCDR3_18	61.25
TIME	interaction_energies_for_MAPs_part_HCDR3_192	68.36
TIME	interaction_energies_for_MAPs_part_HV_109	162.48
TIME	interaction_energies_for_MAPs_part_HCDR3_189	67.16
TIME	interaction_energies_for_MAPs_part_HCDR3_188	67.98
TIME	interaction_energies_for_MAPs_part_HCDR3_182	61.92
TIME	interaction_energies_for_MAPs_part_HCDR3_72	63.66
TIME	interaction_energies_for_MAPs_part_HCDR3_183	67.99
TIME	interaction_energies_for_MAPs_part_HCDR3_181	65.9
TIME	interaction_energies_for_MAPs_part_HCDR3_180	68.59
TIME	interaction_energies_for_MAPs_part_HCDR3_63	62.05
TIME	interaction_energies_for_MAPs_part_HCDR3_69	64.02
TIME	interaction_energies_for_MAPs_part_HCDR3_62	61.7
TIME	interaction_energies_for_MAPs_part_HCDR3_174	66.44
TIME	interaction_energies_for_MAPs_part_HCDR3_175	70.05
TIME	interaction_energies_for_MAPs_part_HCDR3_74	64.19
TIME	interaction_energies_for_MAPs_part_HCDR3_75	64.46
TIME	interaction_energies_for_MAPs_part_HCDR3_171	70.76
TIME	interaction_energies_for_MAPs_part_HCDR3_7	62.94
TIME	interaction_energies_for_MAPs_part_HCDR3_168	65.65
TIME	interaction_energies_for_MAPs_part_HCDR3_187	66.83
TIME	interaction_energies_for_MAPs_part_HCDR3_83	65.28
TIME	interaction_energies_for_MAPs_part_HCDR3_167	69.22
TIME	interaction_energies_for_MAPs_part_HCDR3_84	63.27
TIME	interaction_energies_for_MAPs_part_HCDR3_164	67.96
TIME	interaction_energies_for_MAPs_part_HCDR3_166	68.06
TIME	interaction_energies_for_MAPs_part_HCDR3_162	68.07
TIME	interaction_energies_for_MAPs_part_HCDR3_87	63.24
TIME	interaction_energies_for_MAPs_part_HCDR3_96	64.42
TIME	interaction_energies_for_MAPs_part_HCDR3_160	63.84
TIME	interaction_energies_for_MAPs_part_HCDR3_184	64.79
TIME	interaction_energies_for_MAPs_part_HCDR3_95	63.92
TIME	interaction_energies_for_MAPs_part_HCDR3_93	65.6
TIME	interaction_energies_for_MAPs_part_HCDR3_91	65.79
TIME	interaction_energies_for_MAPs_part_HCDR3_90	63.11
TIME	interaction_energies_for_MAPs_part_HCDR3_14	61.15
TIME	interaction_energies_for_MAPs_part_HCDR3_9	61.18
TIME	interaction_energies_for_MAPs_part_HCDR3_88	65.17
TIME	interaction_energies_for_MAPs_part_HCDR3_153	68.71
TIME	interaction_energies_for_MAPs_part_HCDR3_149	66.64
TIME	interaction_energies_for_MAPs_part_HCDR3_333	69.0
TIME	interaction_energies_for_MAPs_part_HCDR3_331	67.75
TIME	interaction_energies_for_MAPs_part_HCDR3_147	64.67
TIME	interaction_energies_for_MAPs_part_HCDR3_146	68.06
TIME	interaction_energies_for_MAPs_part_HCDR3_335	72.4
TIME	interaction_energies_for_MAPs_part_HCDR3_145	66.91
