START	bench_2g5b	on 2017 May 12 at 22:18:35
TIME	interaction_energies_for_MAPs_part_KCDR3_115	77.51
TIME	interaction_energies_for_MAPs_part_KCDR3_114	78.72
TIME	interaction_energies_for_MAPs_part_KCDR3_112	79.04
TIME	interaction_energies_for_MAPs_part_KCDR3_103	71.82
TIME	interaction_energies_for_MAPs_part_KCDR3_111	76.62
TIME	interaction_energies_for_MAPs_part_KCDR3_113	78.85
TIME	interaction_energies_for_MAPs_part_KCDR3_10	76.68
TIME	interaction_energies_for_MAPs_part_KCDR3_102	76.78
TIME	interaction_energies_for_MAPs_part_KCDR3_110	76.84
TIME	interaction_energies_for_MAPs_part_KCDR3_101	76.81
TIME	interaction_energies_for_MAPs_part_KCDR3_97	74.96
TIME	interaction_energies_for_MAPs_part_KCDR3_107	76.58
TIME	interaction_energies_for_MAPs_part_KCDR3_105	76.86
TIME	interaction_energies_for_MAPs_part_KCDR3_104	77.13
TIME	interaction_energies_for_MAPs_part_KCDR3_106	77.47
TIME	interaction_energies_for_MAPs_part_KCDR3_108	78.06
TIME	interaction_energies_for_MAPs_part_KCDR3_98	76.07
TIME	interaction_energies_for_MAPs_part_KCDR3_99	76.76
TIME	interaction_energies_for_MAPs_part_KCDR3_100	77.68
TIME	interaction_energies_for_MAPs_part_KCDR3_9	76.7
TIME	interaction_energies_for_MAPs_part_KCDR3_95	76.23
TIME	interaction_energies_for_MAPs_part_KCDR3_96	77.46
TIME	interaction_energies_for_MAPs_part_KCDR3_93	76.59
TIME	interaction_energies_for_MAPs_part_KCDR3_92	76.96
TIME	interaction_energies_for_MAPs_part_KCDR3_94	78.16
TIME	interaction_energies_for_MAPs_part_KCDR3_91	78.21
TIME	interaction_energies_for_MAPs_part_KCDR3_90	76.79
TIME	interaction_energies_for_MAPs_part_KCDR3_109	78.42
TIME	interaction_energies_for_MAPs_part_KCDR3_8	76.63
TIME	interaction_energies_for_MAPs_part_KCDR3_89	77.03
TIME	interaction_energies_for_MAPs_part_KCDR3_88	77.8
TIME	interaction_energies_for_MAPs_part_KCDR3_87	77.43
TIME	interaction_energies_for_MAPs_part_KCDR3_86	76.11
TIME	interaction_energies_for_MAPs_part_KCDR3_85	77.86
TIME	interaction_energies_for_MAPs_part_KCDR3_82	75.77
TIME	interaction_energies_for_MAPs_part_KCDR3_84	77.23
TIME	interaction_energies_for_MAPs_part_KCDR3_83	78.58
TIME	interaction_energies_for_MAPs_part_KCDR3_81	78.45
TIME	interaction_energies_for_MAPs_part_KCDR3_80	76.84
TIME	interaction_energies_for_MAPs_part_KCDR3_7	76.66
TIME	interaction_energies_for_MAPs_part_KCDR3_79	77.18
TIME	interaction_energies_for_MAPs_part_KCDR3_73	75.94
TIME	interaction_energies_for_MAPs_part_KCDR3_69	77.15
TIME	interaction_energies_for_MAPs_part_KCDR3_74	77.12
TIME	interaction_energies_for_MAPs_part_KCDR3_78	77.87
TIME	interaction_energies_for_MAPs_part_KCDR3_75	78.02
TIME	interaction_energies_for_MAPs_part_KCDR3_77	79.4
TIME	interaction_energies_for_MAPs_part_KCDR3_76	79.01
TIME	interaction_energies_for_MAPs_part_KCDR3_68	78.72
TIME	interaction_energies_for_MAPs_part_KCDR3_6	75.95
TIME	interaction_energies_for_MAPs_part_KCDR3_72	76.79
TIME	interaction_energies_for_MAPs_part_KCDR3_70	77.89
TIME	interaction_energies_for_MAPs_part_KCDR3_71	78.37
TIME	interaction_energies_for_MAPs_part_KCDR3_66	76.76
TIME	interaction_energies_for_MAPs_part_KCDR3_65	77.43
TIME	interaction_energies_for_MAPs_part_KCDR3_67	79.99
TIME	interaction_energies_for_MAPs_part_KCDR3_63	78.55
TIME	interaction_energies_for_MAPs_part_KCDR3_64	81.77
TIME	interaction_energies_for_MAPs_part_KCDR3_61	78.79
TIME	interaction_energies_for_MAPs_part_KCDR3_60	78.04
TIME	interaction_energies_for_MAPs_part_KCDR3_5	74.62
TIME	interaction_energies_for_MAPs_part_KCDR3_59	77.02
TIME	interaction_energies_for_MAPs_part_KCDR3_58	77.97
TIME	interaction_energies_for_MAPs_part_KCDR3_56	76.61
TIME	interaction_energies_for_MAPs_part_KCDR3_57	76.76
TIME	interaction_energies_for_MAPs_part_KCDR3_55	77.11
TIME	interaction_energies_for_MAPs_part_KCDR3_54	76.5
TIME	interaction_energies_for_MAPs_part_KCDR3_53	80.66
TIME	interaction_energies_for_MAPs_part_KCDR3_52	75.17
TIME	interaction_energies_for_MAPs_part_KCDR3_51	76.56
TIME	interaction_energies_for_MAPs_part_KCDR3_4	74.82
TIME	interaction_energies_for_MAPs_part_KCDR3_50	76.8
TIME	interaction_energies_for_MAPs_part_KCDR3_45	77.72
TIME	interaction_energies_for_MAPs_part_KCDR3_44	78.82
TIME	interaction_energies_for_MAPs_part_KCDR3_47	77.87
TIME	interaction_energies_for_MAPs_part_KCDR3_49	78.92
TIME	interaction_energies_for_MAPs_part_KCDR3_43	79.74
TIME	interaction_energies_for_MAPs_part_KCDR3_48	78.53
TIME	interaction_energies_for_MAPs_part_KCDR3_46	79.06
TIME	interaction_energies_for_MAPs_part_KCDR3_42	81.88
TIME	interaction_energies_for_MAPs_part_KCDR3_3	75.65
TIME	interaction_energies_for_MAPs_part_KCDR3_39	76.67
TIME	interaction_energies_for_MAPs_part_KCDR3_40	78.51
TIME	interaction_energies_for_MAPs_part_KCDR3_62	78.79
TIME	interaction_energies_for_MAPs_part_KCDR3_38	76.47
TIME	interaction_energies_for_MAPs_part_KCDR3_37	75.91
TIME	interaction_energies_for_MAPs_part_KCDR3_36	76.09
TIME	interaction_energies_for_MAPs_part_HV_88	185.39
TIME	interaction_energies_for_MAPs_part_HV_87	186.29
TIME	interaction_energies_for_MAPs_part_HV_86	186.15
TIME	interaction_energies_for_MAPs_part_HV_75	191.64
TIME	interaction_energies_for_MAPs_part_HV_7	194.26
TIME	interaction_energies_for_MAPs_part_HV_79	192.78
TIME	interaction_energies_for_MAPs_part_HV_73	187.43
TIME	interaction_energies_for_MAPs_part_HV_76	197.19
TIME	interaction_energies_for_MAPs_part_HV_74	188.99
TIME	interaction_energies_for_MAPs_part_HV_64	186.84
TIME	interaction_energies_for_MAPs_part_HV_60	186.84
TIME	interaction_energies_for_MAPs_part_HV_63	187.96
TIME	interaction_energies_for_MAPs_part_HV_78	190.7
TIME	interaction_energies_for_MAPs_part_HV_80	193.87
TIME	interaction_energies_for_MAPs_part_HV_77	195.54
TIME	interaction_energies_for_MAPs_part_HV_61	191.9
TIME	interaction_energies_for_MAPs_part_HV_62	193.87
