START	rep1_3l5w_01	on 2017 June 09 at 21:33:45
TIME	parts_7_to_7_interaction_energies	3115.16
TIME	parts_117_to_117_interaction_energies	175.01
TIME	parts_116_to_116_interaction_energies	168.69
TIME	parts_129_to_129_interaction_energies	168.76
TIME	parts_130_to_130_interaction_energies	172.27
TIME	parts_316_to_316_interaction_energies	183.93
TIME	parts_324_to_324_interaction_energies	179.64
TIME	parts_214_to_214_interaction_energies	175.13
TIME	parts_228_to_228_interaction_energies	173.53
TIME	parts_139_to_139_interaction_energies	171.22
TIME	parts_235_to_235_interaction_energies	165.34
TIME	parts_164_to_164_interaction_energies	174.82
TIME	parts_165_to_165_interaction_energies	170.39
TIME	parts_350_to_350_interaction_energies	177.93
TIME	parts_176_to_176_interaction_energies	172.31
TIME	parts_414_to_414_interaction_energies	166.85
TIME	parts_247_to_247_interaction_energies	173.21
TIME	parts_283_to_283_interaction_energies	177.7
TIME	parts_301_to_301_interaction_energies	167.02
TIME	parts_361_to_361_interaction_energies	182.26
TIME	parts_122_to_122_interaction_energies	173.77
TIME	parts_123_to_123_interaction_energies	168.26
TIME	parts_131_to_131_interaction_energies	177.63
TIME	parts_325_to_325_interaction_energies	181.69
TIME	parts_394_to_394_interaction_energies	169.17
TIME	parts_229_to_229_interaction_energies	175.1
TIME	parts_440_to_440_interaction_energies	257.89
TIME	parts_10_to_10_interaction_energies	3295.27
TIME	parts_9_to_9_interaction_energies	3292.93
TIME	parts_140_to_140_interaction_energies	169.37
TIME	parts_8_to_8_interaction_energies	3309.08
TIME	parts_166_to_166_interaction_energies	172.45
TIME	parts_342_to_342_interaction_energies	182.75
TIME	parts_351_to_351_interaction_energies	182.78
TIME	parts_476_to_476_interaction_energies	266.54
TIME	parts_177_to_177_interaction_energies	170.06
TIME	parts_380_to_380_interaction_energies	168.69
TIME	parts_249_to_249_interaction_energies	177.43
TIME	parts_185_to_185_interaction_energies	171.7
TIME	parts_248_to_248_interaction_energies	176.9
TIME	parts_288_to_288_interaction_energies	176.24
TIME	parts_294_to_294_interaction_energies	175.49
TIME	parts_493_to_493_interaction_energies	262.2
TIME	parts_456_to_456_interaction_energies	260.5
TIME	parts_302_to_302_interaction_energies	176.06
TIME	parts_367_to_367_interaction_energies	166.07
TIME	parts_124_to_124_interaction_energies	162.02
TIME	parts_313_to_313_interaction_energies	176.41
TIME	parts_215_to_215_interaction_energies	175.32
TIME	parts_387_to_387_interaction_energies	170.74
TIME	parts_230_to_230_interaction_energies	174.53
TIME	parts_437_to_437_interaction_energies	256.34
TIME	parts_143_to_143_interaction_energies	171.54
TIME	parts_262_to_262_interaction_energies	180.27
TIME	parts_450_to_450_interaction_energies	267.17
TIME	parts_352_to_352_interaction_energies	180.2
TIME	parts_353_to_353_interaction_energies	179.35
TIME	parts_461_to_461_interaction_energies	263.89
TIME	parts_406_to_406_interaction_energies	168.04
TIME	parts_178_to_178_interaction_energies	170.85
