359.82 0 -8.75 16.25 +0.0036
352.57 -1.25 -5 15 -0.2585
358.85 7.5 -5 16.25 -0.2426
359.09 -3.75 -10 15 +0.0814
355.86 -2.5 -3.75 15 +0.2715
358.85 -1.25 3.75 13.75 +7.7681
355.86 -1.25 -8.75 8.75 -0.292
359.82 -2.5 -10 15 +0.0426
352.57 10 0 16.25 -0.6722
358.85 -3.75 5 8.75 +1e+10
359.82 -5 -7.5 12.5 -0.3336
359.82 8.75 3.75 12.5 +2.8569
359.32 -3.75 3.75 15 +10.9255
358.85 -2.5 -7.5 8.75 -2.5676
344.85 -1.25 -6.25 16.25 +0.0429
359.09 1.25 -6.25 15 -0.1208
358.96 5 0 12.5 +0.6999
358.85 10 3.75 16.25 +0.2058
359.82 3.75 -1.25 15 +0.5404
359.09 8.75 2.5 16.25 +0.4131
352.57 2.5 -2.5 15 +0.3843
355.86 10 -7.5 15 -0.0355
359.32 2.5 1.25 11.25 -1.3728
359.32 2.5 -1.25 11.25 +0.0087
352.16 7.5 -5 16.25 -0.2773
359.82 7.5 -10 16.25 +0.015
355.86 -3.75 -10 10 +0.0405
359.82 1.25 0 16.25 +0.9162
352.57 -2.5 -8.75 16.25 +0.0082
355.86 7.5 5 16.25 +1.0609
359.82 -3.75 -7.5 12.5 -0.0834
355.86 1.25 -5 11.25 -0.4678
358.96 8.75 -2.5 16.25 -0.4643
358.85 1.25 3.75 11.25 -2.9117
352.16 10 -6.25 15 -0.3341
359.32 5 -1.25 12.5 +0.6552
359.32 -5 -6.25 12.5 -0.5054
355.86 0 -10 16.25 +0
358.85 -3.75 1.25 8.75 +888491
355.86 -5 -10 12.5 +0.1955
344.85 1.25 -8.75 13.75 -0.0982
358.96 6.25 -6.25 11.25 -0.5526
359.82 -3.75 -8.75 13.75 +0.0136
359.82 -3.75 -1.25 7.5 +853.984
359.32 -5 5 7.5 +1e+10
359.32 -2.5 -7.5 15 -0.0063
359.82 3.75 -8.75 10 -0.0231
344.85 8.75 -10 16.25 +0.1071
359.82 -2.5 0 12.5 +2.8819
358.85 8.75 3.75 13.75 -3.2877
359.82 3.75 -7.5 13.75 -0.0699
358.96 10 -8.75 12.5 -0.0177
359.32 1.25 1.25 15 +2.1518
358.85 -2.5 -6.25 6.25 -9.147
359.82 -1.25 -7.5 11.25 +0.138
359.32 -1.25 -5 15 -0.203
352.57 -5 -3.75 11.25 -1.5379
358.96 8.75 -8.75 11.25 -0.1705
359.32 -3.75 -3.75 11.25 -1.0985
359.32 0 -7.5 5 -2.3696
358.96 6.25 -2.5 15 -0.3917
359.09 6.25 -8.75 15 -0.0112
355.86 0 -10 15 +0.0016
