START	bench_3etb	on 2017 May 15 at 10:32:43
TIME	interaction_energies_for_MAPs_part_KCDR3_126	98.93
TIME	interaction_energies_for_MAPs_part_KCDR3_127	99.19
TIME	interaction_energies_for_MAPs_part_KCDR3_125	98.9
TIME	interaction_energies_for_MAPs_part_KCDR3_99	95.64
TIME	interaction_energies_for_MAPs_part_KCDR3_97	95.51
TIME	interaction_energies_for_MAPs_part_KCDR3_9	95.64
TIME	interaction_energies_for_MAPs_part_KCDR3_98	95.44
TIME	interaction_energies_for_MAPs_part_KCDR3_96	95.38
TIME	interaction_energies_for_MAPs_part_KCDR3_95	95.97
TIME	interaction_energies_for_MAPs_part_KCDR3_94	92.23
TIME	interaction_energies_for_MAPs_part_KCDR3_93	92.54
TIME	interaction_energies_for_MAPs_part_KCDR3_91	92.53
TIME	interaction_energies_for_MAPs_part_KCDR3_8	94.18
TIME	interaction_energies_for_MAPs_part_KCDR3_90	94.12
TIME	interaction_energies_for_MAPs_part_KCDR3_89	94.27
TIME	interaction_energies_for_MAPs_part_KCDR3_92	95.5
TIME	interaction_energies_for_MAPs_part_KCDR3_79	93.76
TIME	interaction_energies_for_MAPs_part_KCDR3_74	92.62
TIME	interaction_energies_for_MAPs_part_KCDR3_80	95.82
TIME	interaction_energies_for_MAPs_part_KCDR3_81	95.95
TIME	interaction_energies_for_MAPs_part_KCDR3_82	95.71
TIME	interaction_energies_for_MAPs_part_KCDR3_7	95.89
TIME	interaction_energies_for_MAPs_part_KCDR3_83	95.86
TIME	interaction_energies_for_MAPs_part_KCDR3_77	93.25
TIME	interaction_energies_for_MAPs_part_KCDR3_76	93.59
TIME	interaction_energies_for_MAPs_part_KCDR3_75	93.87
TIME	interaction_energies_for_MAPs_part_KCDR3_65	94.21
TIME	interaction_energies_for_MAPs_part_KCDR3_88	94.77
TIME	interaction_energies_for_MAPs_part_KCDR3_67	94.56
TIME	interaction_energies_for_MAPs_part_KCDR3_66	94.92
TIME	interaction_energies_for_MAPs_part_KCDR3_86	94.15
TIME	interaction_energies_for_MAPs_part_KCDR3_84	94.31
TIME	interaction_energies_for_MAPs_part_KCDR3_85	94.43
TIME	interaction_energies_for_MAPs_part_KCDR3_87	94.54
TIME	interaction_energies_for_MAPs_part_KCDR3_5	95.47
TIME	interaction_energies_for_MAPs_part_KCDR3_63	96.75
TIME	interaction_energies_for_MAPs_part_KCDR3_58	96.81
TIME	interaction_energies_for_MAPs_part_KCDR3_59	96.58
TIME	interaction_energies_for_MAPs_part_KCDR3_64	97.0
TIME	interaction_energies_for_MAPs_part_KCDR3_62	97.03
TIME	interaction_energies_for_MAPs_part_KCDR3_72	95.08
TIME	interaction_energies_for_MAPs_part_KCDR3_61	96.95
TIME	interaction_energies_for_MAPs_part_KCDR3_6	94.55
TIME	interaction_energies_for_MAPs_part_KCDR3_60	96.88
TIME	interaction_energies_for_MAPs_part_KCDR3_54	97.19
TIME	interaction_energies_for_MAPs_part_KCDR3_57	97.33
TIME	interaction_energies_for_MAPs_part_KCDR3_56	97.51
