START	bench_2j4w	on 2017 May 12 at 23:33:01
TIME	interaction_energies_for_MAPs_part_KCDR3_18	57.01
TIME	interaction_energies_for_MAPs_part_KCDR3_194	58.73
TIME	interaction_energies_for_MAPs_part_KCDR3_10	57.78
TIME	interaction_energies_for_MAPs_part_KCDR3_184	57.86
TIME	interaction_energies_for_MAPs_part_KCDR3_183	58.55
TIME	interaction_energies_for_MAPs_part_KCDR3_176	55.23
TIME	interaction_energies_for_MAPs_part_KCDR3_105	55.17
TIME	interaction_energies_for_MAPs_part_KCDR3_104	56.47
TIME	interaction_energies_for_MAPs_part_KCDR3_174	56.21
TIME	interaction_energies_for_MAPs_part_KCDR3_102	55.94
TIME	interaction_energies_for_MAPs_part_KCDR3_103	57.45
TIME	interaction_energies_for_MAPs_part_KCDR3_175	57.31
TIME	interaction_energies_for_MAPs_part_KCDR3_162	56.03
TIME	interaction_energies_for_MAPs_part_KCDR3_98	55.17
TIME	interaction_energies_for_MAPs_part_KCDR3_8	54.75
TIME	interaction_energies_for_MAPs_part_KCDR3_90	54.8
TIME	interaction_energies_for_MAPs_part_KCDR3_158	55.8
TIME	interaction_energies_for_MAPs_part_KCDR3_96	55.54
TIME	interaction_energies_for_MAPs_part_KCDR3_94	55.84
TIME	interaction_energies_for_MAPs_part_KCDR3_95	55.92
TIME	interaction_energies_for_MAPs_part_KCDR3_89	56.83
TIME	interaction_energies_for_MAPs_part_KCDR3_92	55.93
TIME	interaction_energies_for_MAPs_part_KCDR3_91	55.6
TIME	interaction_energies_for_MAPs_part_KCDR3_88	56.98
TIME	interaction_energies_for_MAPs_part_KCDR3_93	56.43
TIME	interaction_energies_for_MAPs_part_KCDR3_159	57.35
TIME	interaction_energies_for_MAPs_part_KCDR3_15	56.77
TIME	interaction_energies_for_MAPs_part_KCDR3_85	56.39
TIME	interaction_energies_for_MAPs_part_KCDR3_86	55.64
TIME	interaction_energies_for_MAPs_part_KCDR3_87	56.41
TIME	interaction_energies_for_MAPs_part_KCDR3_9	55.53
TIME	interaction_energies_for_MAPs_part_KCDR3_99	55.56
TIME	interaction_energies_for_MAPs_part_KCDR3_82	55.78
TIME	interaction_energies_for_MAPs_part_KCDR3_7	55.52
TIME	interaction_energies_for_MAPs_part_KCDR3_81	58.23
TIME	interaction_energies_for_MAPs_part_KCDR3_83	56.77
TIME	interaction_energies_for_MAPs_part_KCDR3_150	57.73
TIME	interaction_energies_for_MAPs_part_KCDR3_80	57.03
TIME	interaction_energies_for_MAPs_part_KCDR3_14	56.77
TIME	interaction_energies_for_MAPs_part_KCDR3_84	56.99
TIME	interaction_energies_for_MAPs_part_KCDR3_151	58.0
TIME	interaction_energies_for_MAPs_part_KCDR3_65	54.54
TIME	interaction_energies_for_MAPs_part_KCDR3_64	54.92
TIME	interaction_energies_for_MAPs_part_KCDR3_74	54.96
TIME	interaction_energies_for_MAPs_part_KCDR3_73	55.98
TIME	interaction_energies_for_MAPs_part_KCDR3_72	55.98
TIME	interaction_energies_for_MAPs_part_KCDR3_63	56.24
TIME	interaction_energies_for_MAPs_part_KCDR3_6	54.85
TIME	interaction_energies_for_MAPs_part_KCDR3_71	56.44
TIME	interaction_energies_for_MAPs_part_KCDR3_62	57.11
TIME	interaction_energies_for_MAPs_part_KCDR3_142	56.75
TIME	interaction_energies_for_MAPs_part_KCDR3_70	55.82
TIME	interaction_energies_for_MAPs_part_KCDR3_68	56.28
TIME	interaction_energies_for_MAPs_part_KCDR3_67	56.6
TIME	interaction_energies_for_MAPs_part_KCDR3_66	56.51
TIME	interaction_energies_for_MAPs_part_KCDR3_69	57.37
TIME	interaction_energies_for_MAPs_part_KCDR3_61	56.78
TIME	interaction_energies_for_MAPs_part_KCDR3_59	56.3
TIME	interaction_energies_for_MAPs_part_KCDR3_5	55.14
TIME	interaction_energies_for_MAPs_part_KCDR3_60	57.35
TIME	interaction_energies_for_MAPs_part_LV_2	103.21
TIME	interaction_energies_for_MAPs_part_LV_29	106.66
TIME	interaction_energies_for_MAPs_part_KCDR3_57	57.1
TIME	interaction_energies_for_MAPs_part_KCDR3_58	58.01
TIME	interaction_energies_for_MAPs_part_KCDR3_55	57.54
TIME	interaction_energies_for_MAPs_part_KCDR3_56	57.68
TIME	interaction_energies_for_MAPs_part_LV_17	104.22
TIME	interaction_energies_for_MAPs_part_KCDR3_3	54.06
TIME	interaction_energies_for_MAPs_part_KCDR3_42	54.64
TIME	interaction_energies_for_MAPs_part_KCDR3_40	55.03
TIME	interaction_energies_for_MAPs_part_KCDR3_41	55.03
TIME	interaction_energies_for_MAPs_part_KCDR3_38	55.32
TIME	interaction_energies_for_MAPs_part_KCDR3_39	55.43
TIME	interaction_energies_for_MAPs_part_KCDR3_43	56.52
TIME	interaction_energies_for_MAPs_part_KCDR3_37	56.54
TIME	interaction_energies_for_MAPs_part_KCDR3_36	56.25
TIME	interaction_energies_for_MAPs_part_LJ_4	57.68
TIME	interaction_energies_for_MAPs_part_LV_16	104.68
TIME	interaction_energies_for_MAPs_part_LV_15	104.49
TIME	interaction_energies_for_MAPs_part_HV_86	105.71
TIME	interaction_energies_for_MAPs_part_HV_85	105.73
TIME	interaction_energies_for_MAPs_part_KCDR3_195	58.73
TIME	interaction_energies_for_MAPs_part_HV_84	107.37
TIME	interaction_energies_for_MAPs_part_HV_81	110.74
TIME	interaction_energies_for_MAPs_part_HV_82	110.55
TIME	interaction_energies_for_MAPs_part_HV_83	111.8
TIME	interaction_energies_for_MAPs_part_HV_88	110.88
TIME	interaction_energies_for_MAPs_part_HV_87	111.63
TIME	interaction_energies_for_MAPs_part_HV_80	111.46
TIME	interaction_energies_for_MAPs_part_HV_7	113.26
TIME	interaction_energies_for_MAPs_part_KCDR3_109	57.09
TIME	interaction_energies_for_MAPs_part_HV_71	108.0
TIME	interaction_energies_for_MAPs_part_HV_69	109.9
TIME	interaction_energies_for_MAPs_part_HV_70	111.0
TIME	interaction_energies_for_MAPs_part_HV_6	112.83
TIME	interaction_energies_for_MAPs_part_KCDR3_100	55.0
TIME	interaction_energies_for_MAPs_part_KCDR3_101	57.07
TIME	interaction_energies_for_MAPs_part_HV_66	112.61
TIME	interaction_energies_for_MAPs_part_HV_60	108.26
TIME	interaction_energies_for_MAPs_part_HV_5	109.89
TIME	interaction_energies_for_MAPs_part_HV_61	109.96
TIME	interaction_energies_for_MAPs_part_HV_59	109.35
TIME	interaction_energies_for_MAPs_part_HV_58	109.72
TIME	interaction_energies_for_MAPs_part_HV_55	111.16
TIME	interaction_energies_for_MAPs_part_HV_57	112.35
TIME	interaction_energies_for_MAPs_part_KCDR3_97	57.37
TIME	interaction_energies_for_MAPs_part_HV_53	112.31
TIME	interaction_energies_for_MAPs_part_HV_56	112.8
TIME	interaction_energies_for_MAPs_part_HV_54	113.11
TIME	interaction_energies_for_MAPs_part_KCDR3_79	56.37
TIME	interaction_energies_for_MAPs_part_KCDR3_78	56.98
TIME	interaction_energies_for_MAPs_part_KCDR3_76	56.81
TIME	interaction_energies_for_MAPs_part_KCDR3_77	56.99
TIME	interaction_energies_for_MAPs_part_KCDR3_75	57.11
TIME	interaction_energies_for_MAPs_part_HV_49	108.27
TIME	interaction_energies_for_MAPs_part_HV_4	108.51
TIME	interaction_energies_for_MAPs_part_HV_48	110.06
TIME	interaction_energies_for_MAPs_part_HV_52	114.03
TIME	interaction_energies_for_MAPs_part_HV_43	110.09
TIME	interaction_energies_for_MAPs_part_HV_44	109.25
TIME	interaction_energies_for_MAPs_part_HV_45	110.53
