START	rep1_2r0w_01	on 2017 June 13 at 03:05:22
TIME	parts_132_to_132_interaction_energies	78.01
TIME	parts_133_to_133_interaction_energies	80.4
TIME	parts_135_to_135_interaction_energies	73.05
TIME	parts_134_to_134_interaction_energies	78.28
TIME	parts_137_to_137_interaction_energies	80.33
TIME	parts_139_to_139_interaction_energies	78.16
TIME	parts_141_to_141_interaction_energies	79.43
TIME	parts_140_to_140_interaction_energies	83.44
TIME	parts_138_to_138_interaction_energies	84.95
TIME	parts_144_to_144_interaction_energies	78.15
TIME	parts_146_to_146_interaction_energies	67.76
TIME	parts_143_to_143_interaction_energies	80.59
TIME	parts_142_to_142_interaction_energies	81.45
TIME	parts_145_to_145_interaction_energies	80.86
TIME	parts_150_to_150_interaction_energies	74.05
TIME	parts_147_to_147_interaction_energies	80.75
TIME	parts_148_to_148_interaction_energies	86.19
TIME	parts_149_to_149_interaction_energies	85.23
TIME	parts_151_to_151_interaction_energies	82.91
TIME	parts_154_to_154_interaction_energies	79.18
TIME	parts_153_to_153_interaction_energies	82.02
TIME	parts_159_to_159_interaction_energies	81.6
TIME	parts_152_to_152_interaction_energies	81.88
TIME	parts_157_to_157_interaction_energies	83.52
TIME	parts_156_to_156_interaction_energies	91.44
TIME	parts_155_to_155_interaction_energies	92.17
TIME	parts_158_to_158_interaction_energies	84.73
TIME	parts_171_to_171_interaction_energies	78.77
TIME	parts_172_to_172_interaction_energies	80.52
TIME	parts_179_to_179_interaction_energies	72.63
TIME	parts_180_to_180_interaction_energies	84.3
TIME	parts_178_to_178_interaction_energies	83.68
TIME	parts_173_to_173_interaction_energies	80.18
TIME	parts_161_to_161_interaction_energies	77.05
TIME	parts_160_to_160_interaction_energies	84.39
TIME	parts_164_to_164_interaction_energies	79.85
TIME	parts_162_to_162_interaction_energies	82.33
TIME	parts_163_to_163_interaction_energies	82.54
TIME	parts_170_to_170_interaction_energies	79.18
TIME	parts_182_to_182_interaction_energies	79.26
TIME	parts_181_to_181_interaction_energies	84.42
TIME	parts_185_to_185_interaction_energies	82.93
TIME	parts_183_to_183_interaction_energies	81.39
TIME	parts_184_to_184_interaction_energies	81.04
TIME	parts_168_to_168_interaction_energies	76.18
TIME	parts_166_to_166_interaction_energies	78.62
TIME	parts_169_to_169_interaction_energies	81.35
TIME	parts_165_to_165_interaction_energies	78.87
TIME	parts_186_to_186_interaction_energies	91.08
TIME	parts_167_to_167_interaction_energies	79.16
TIME	parts_188_to_188_interaction_energies	80.36
TIME	parts_187_to_187_interaction_energies	81.13
TIME	parts_190_to_190_interaction_energies	75.18
TIME	parts_191_to_191_interaction_energies	80.18
TIME	parts_192_to_192_interaction_energies	84.04
TIME	parts_189_to_189_interaction_energies	81.87
TIME	parts_193_to_193_interaction_energies	78.62
TIME	parts_194_to_194_interaction_energies	81.85
TIME	parts_195_to_195_interaction_energies	82.41
TIME	parts_196_to_196_interaction_energies	83.53
TIME	parts_174_to_174_interaction_energies	1517.98
TIME	parts_201_to_201_interaction_energies	75.15
TIME	parts_198_to_198_interaction_energies	81.43
TIME	parts_197_to_197_interaction_energies	83.79
TIME	parts_199_to_199_interaction_energies	82.54
TIME	parts_175_to_175_interaction_energies	1586.75
TIME	parts_176_to_176_interaction_energies	1586.99
TIME	parts_177_to_177_interaction_energies	1588.16
TIME	parts_203_to_203_interaction_energies	81.46
TIME	parts_202_to_202_interaction_energies	81.28
TIME	parts_204_to_204_interaction_energies	81.37
TIME	parts_205_to_205_interaction_energies	86.97
TIME	parts_206_to_206_interaction_energies	81.04
TIME	parts_208_to_208_interaction_energies	83.81
TIME	parts_209_to_209_interaction_energies	89.96
TIME	parts_207_to_207_interaction_energies	82.51
TIME	parts_211_to_211_interaction_energies	78.38
TIME	parts_210_to_210_interaction_energies	81.91
TIME	parts_213_to_213_interaction_energies	80.11
TIME	parts_214_to_214_interaction_energies	91.17
TIME	parts_215_to_215_interaction_energies	81.79
TIME	parts_218_to_218_interaction_energies	84.34
TIME	parts_216_to_216_interaction_energies	82.95
TIME	parts_217_to_217_interaction_energies	85.0
TIME	parts_219_to_219_interaction_energies	87.65
TIME	parts_223_to_223_interaction_energies	69.74
TIME	parts_222_to_222_interaction_energies	82.63
TIME	parts_220_to_220_interaction_energies	83.73
TIME	parts_221_to_221_interaction_energies	85.36
TIME	parts_224_to_224_interaction_energies	79.66
TIME	parts_228_to_228_interaction_energies	84.06
TIME	parts_225_to_225_interaction_energies	84.4
TIME	parts_227_to_227_interaction_energies	83.88
TIME	parts_226_to_226_interaction_energies	85.91
TIME	parts_229_to_229_interaction_energies	83.66
TIME	parts_200_to_200_interaction_energies	1566.96
TIME	parts_230_to_230_interaction_energies	84.2
TIME	parts_233_to_233_interaction_energies	86.45
TIME	parts_231_to_231_interaction_energies	85.42
TIME	parts_232_to_232_interaction_energies	87.03
TIME	parts_236_to_236_interaction_energies	84.53
TIME	parts_234_to_234_interaction_energies	82.8
TIME	parts_235_to_235_interaction_energies	77.74
TIME	parts_212_to_212_interaction_energies	1402.38
TIME	parts_238_to_238_interaction_energies	81.42
TIME	parts_237_to_237_interaction_energies	80.82
TIME	parts_240_to_240_interaction_energies	85.9
TIME	parts_241_to_241_interaction_energies	80.39
TIME	parts_242_to_242_interaction_energies	87.59
TIME	parts_244_to_244_interaction_energies	82.44
TIME	parts_243_to_243_interaction_energies	82.84
TIME	parts_245_to_245_interaction_energies	81.81
TIME	parts_246_to_246_interaction_energies	77.16
TIME	parts_247_to_247_interaction_energies	80.51
TIME	parts_249_to_249_interaction_energies	80.44
TIME	parts_248_to_248_interaction_energies	81.41
TIME	parts_251_to_251_interaction_energies	96.5
TIME	parts_252_to_252_interaction_energies	84.46
TIME	parts_253_to_253_interaction_energies	82.27
TIME	parts_254_to_254_interaction_energies	96.13
TIME	parts_255_to_255_interaction_energies	80.41
TIME	parts_256_to_256_interaction_energies	83.83
TIME	parts_239_to_239_interaction_energies	1582.44
TIME	parts_257_to_257_interaction_energies	74.86
TIME	parts_258_to_258_interaction_energies	82.6
TIME	parts_260_to_260_interaction_energies	81.35
TIME	parts_259_to_259_interaction_energies	82.49
TIME	parts_261_to_261_interaction_energies	83.08
TIME	parts_263_to_263_interaction_energies	83.66
TIME	parts_262_to_262_interaction_energies	86.51
TIME	parts_268_to_268_interaction_energies	78.68
TIME	parts_267_to_267_interaction_energies	80.6
TIME	parts_264_to_264_interaction_energies	83.4
TIME	parts_266_to_266_interaction_energies	83.74
TIME	parts_265_to_265_interaction_energies	84.69
TIME	parts_289_to_289_interaction_energies	82.52
TIME	parts_269_to_269_interaction_energies	84.34
TIME	parts_250_to_250_interaction_energies	1584.16
TIME	parts_270_to_270_interaction_energies	85.28
TIME	parts_272_to_272_interaction_energies	83.87
TIME	parts_273_to_273_interaction_energies	80.56
TIME	parts_274_to_274_interaction_energies	83.71
TIME	parts_278_to_278_interaction_energies	78.08
TIME	parts_276_to_276_interaction_energies	85.22
TIME	parts_277_to_277_interaction_energies	85.92
TIME	parts_279_to_279_interaction_energies	73.31
TIME	parts_281_to_281_interaction_energies	84.99
TIME	parts_282_to_282_interaction_energies	87.61
TIME	parts_285_to_285_interaction_energies	84.12
TIME	parts_283_to_283_interaction_energies	83.22
TIME	parts_284_to_284_interaction_energies	84.45
TIME	parts_286_to_286_interaction_energies	80.68
TIME	parts_287_to_287_interaction_energies	80.34
TIME	parts_290_to_290_interaction_energies	73.9
TIME	parts_288_to_288_interaction_energies	84.99
TIME	parts_291_to_291_interaction_energies	85.7
TIME	parts_292_to_292_interaction_energies	99.65
TIME	parts_271_to_271_interaction_energies	1605.43
TIME	parts_315_to_315_interaction_energies	82.38
TIME	parts_294_to_294_interaction_energies	84.58
TIME	parts_295_to_295_interaction_energies	88.55
TIME	parts_298_to_298_interaction_energies	82.56
TIME	parts_275_to_275_interaction_energies	1612.36
TIME	parts_296_to_296_interaction_energies	81.18
TIME	parts_299_to_299_interaction_energies	81.82
TIME	parts_280_to_280_interaction_energies	1557.41
TIME	parts_301_to_301_interaction_energies	72.34
TIME	parts_302_to_302_interaction_energies	85.42
TIME	parts_300_to_300_interaction_energies	85.76
TIME	parts_303_to_303_interaction_energies	85.18
TIME	parts_306_to_306_interaction_energies	79.66
TIME	parts_304_to_304_interaction_energies	86.77
TIME	parts_307_to_307_interaction_energies	85.33
TIME	parts_331_to_331_interaction_energies	83.14
TIME	parts_308_to_308_interaction_energies	84.85
TIME	parts_310_to_310_interaction_energies	84.11
TIME	parts_309_to_309_interaction_energies	85.51
TIME	parts_311_to_311_interaction_energies	87.41
TIME	parts_312_to_312_interaction_energies	74.55
TIME	parts_313_to_313_interaction_energies	84.29
TIME	parts_314_to_314_interaction_energies	98.4
TIME	parts_293_to_293_interaction_energies	1638.69
TIME	parts_316_to_316_interaction_energies	89.64
TIME	parts_317_to_317_interaction_energies	84.9
TIME	parts_318_to_318_interaction_energies	82.18
TIME	parts_297_to_297_interaction_energies	1640.8
TIME	parts_340_to_340_interaction_energies	88.7
TIME	parts_320_to_320_interaction_energies	86.38
TIME	parts_322_to_322_interaction_energies	86.4
TIME	parts_323_to_323_interaction_energies	71.34
TIME	parts_325_to_325_interaction_energies	100.61
TIME	parts_326_to_326_interaction_energies	88.13
TIME	parts_305_to_305_interaction_energies	1665.2
TIME	parts_330_to_330_interaction_energies	80.98
TIME	parts_327_to_327_interaction_energies	85.31
TIME	parts_329_to_329_interaction_energies	88.06
TIME	parts_328_to_328_interaction_energies	89.39
TIME	parts_332_to_332_interaction_energies	87.65
TIME	parts_336_to_336_interaction_energies	84.57
TIME	parts_333_to_333_interaction_energies	97.8
TIME	parts_334_to_334_interaction_energies	73.42
TIME	parts_337_to_337_interaction_energies	86.3
TIME	parts_338_to_338_interaction_energies	90.03
TIME	parts_339_to_339_interaction_energies	88.19
TIME	parts_343_to_343_interaction_energies	85.16
TIME	parts_341_to_341_interaction_energies	85.28
TIME	parts_342_to_342_interaction_energies	91.82
TIME	parts_346_to_346_interaction_energies	71.87
TIME	parts_345_to_345_interaction_energies	89.05
TIME	parts_344_to_344_interaction_energies	90.42
TIME	parts_319_to_319_interaction_energies	1682.91
TIME	parts_374_to_374_interaction_energies	72.92
TIME	parts_349_to_349_interaction_energies	86.37
TIME	parts_351_to_351_interaction_energies	89.14
TIME	parts_347_to_347_interaction_energies	88.78
TIME	parts_348_to_348_interaction_energies	89.38
TIME	parts_321_to_321_interaction_energies	1654.61
TIME	parts_352_to_352_interaction_energies	90.71
TIME	parts_354_to_354_interaction_energies	92.24
TIME	parts_353_to_353_interaction_energies	89.74
TIME	parts_355_to_355_interaction_energies	91.77
TIME	parts_324_to_324_interaction_energies	1666.64
TIME	parts_357_to_357_interaction_energies	75.45
TIME	parts_356_to_356_interaction_energies	93.05
TIME	parts_359_to_359_interaction_energies	92.81
TIME	parts_361_to_361_interaction_energies	90.94
TIME	parts_360_to_360_interaction_energies	93.89
